PCC7942_PG_locus,PCC7942_NCBI-alias,PCC7942_alias,PCC7942_start,PCC7942_end,PCC7942_strand,gene_name,Annotation_description,Additional description,PCC7942_essentiality,PCC7942_regulatory_region_essentiality,PCC7942_uninterupted_upstream_length,cyano_conserved,greencut2_conserved,Notes on PG Annotation
SE_1221,SYNPCC7942_RS06015,Synpcc7942_1173,1207866,1209134,Forward,,DUF2064 domain-containing protein,,non-essential,,,no,no,
SE_1222,SYNPCC7942_RS13745,Synpcc7942_1174,1209224,1209343,Reverse,psbJ,photosystem II PsbJ protein,,ambiguous,,,yes,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1223,SYNPCC7942_RS06020,Synpcc7942_1175,1209424,1209546,Reverse,psbL,photosystem II PsbL protein,,essential,non-essential,12,yes,no,
SE_1224,SYNPCC7942_RS06025,Synpcc7942_1176,1209559,1209693,Reverse,psbF,photosystem II cytochrome b559 subunit beta,,essential,non-essential,21,yes,no,
SE_1225,SYNPCC7942_RS06030,Synpcc7942_1177,1209715,1209966,Reverse,psbE,photosystem II cytochrome b559 subunit alpha,,essential,essential,48,yes,no,
SE_1226,SYNPCC7942_RS06035,Synpcc7942_1178,1210031,1211080,Reverse,,Uncharacterized protein,,beneficial,,,yes,no,
SE_1227,SYNPCC7942_RS06040,Synpcc7942_1179,1211113,1211529,Reverse,rub,Rubredoxin,,ambiguous,,,yes,yes,
SE_1228,SYNPCC7942_RS06045,(Synpcc7942_1180),1211742,1212104,Forward,ndhC,NAD(P)H-quinone oxidoreductase subunit 3,,essential,non-essential,26,yes,no,
SE_1229,SYNPCC7942_RS06050,Synpcc7942_1181,1212095,1212802,Forward,ndhK,NADH dehydrogenase subunit B,,essential,non-essential,0,no,no,
SE_1230,SYNPCC7942_RS06055,Synpcc7942_1182,1212795,1213313,Forward,ndhJ,NADH dehydrogenase subunit C,,essential,non-essential,0,yes,no,
SE_1231,SYNPCC7942_RS06060,(Synpcc7942_1183),1213471,1214214,Forward,,hypothetical protein,,non-essential,,,no,no,UTEX 3055 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data
SE_1232,SYNPCC7942_RS06065,(Synpcc7942_1184),1214278,1215141,Forward,,6-pyruvoyltetrahydropterin/6-carboxytetrahydropt erin synthase,,beneficial,,,no,no,
SE_1233,SYNPCC7942_RS06070,Synpcc7942_1185,1215373,1215648,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_1234,SYNPCC7942_RS06075,Synpcc7942_1186,1215652,1216350,Forward,ribD,5-amino-6-(5-phosphoribosylamino)uracil reductase,,essential,non-essential,2,no,no,
SE_1235,SYNPCC7942_RS06080,Synpcc7942_1187,1216357,1217532,Forward,,N-acetyltransferase,,non-essential,,,yes,no,
SE_1236,SYNPCC7942_RS06085,Synpcc7942_1188,1217650,1218042,Forward,,protein of unknown function (DUF4346),,beneficial,,,yes,no,
SE_1237,SYNPCC7942_RS06090,Synpcc7942_1189,1218046,1218630,Reverse,mobA,molybdenum cofactor guanylyltransferase,,ambiguous,,,no,no,
SE_1238,SYNPCC7942_RS06095,Synpcc7942_1190,1218720,1220180,Reverse,lap,leucyl aminopeptidase Metallo peptidase. MEROPS family M17,,non-essential,,,yes,no,
SE_1239,SYNPCC7942_RS06100,Synpcc7942_1191,1220349,1220900,Forward,gmk,guanylate kinase,,essential,non-essential,22,no,no,
SE_1240,SYNPCC7942_RS06105,Synpcc7942_1192,1220990,1221583,Reverse,,hypothetical protein,,beneficial,,,yes,no,PCC 7942 annotation changed to reflect complete ORF
SE_1241,SYNPCC7942_RS06110,(Synpcc7942_1193),1221676,1222443,Reverse,,acyltransferase,,ambiguous,,,no,no,"UTEX 3055 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1242,SYNPCC7942_RS06115,(Synpcc7942_1194),1222773,1223495,Forward,pdxJ,pyridoxine 5'-phosphate synthase,,essential,non-essential,0,yes,no,
SE_1243,SYNPCC7942_RS06120,Synpcc7942_1195,1223721,1224221,Forward,,hypothetical protein,,non-essential,,,no,no,"UTEX 3055 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, PCC 7942 RNAseq data"
SE_1244,SYNPCC7942_RS06125,Synpcc7942_1196,1224298,1224534,Forward,sipA,Protein of unknown function (DUF3148),,non-essential,,,yes,no,
SE_1245,SYNPCC7942_RS06130,Synpcc7942_1197,1224841,1225728,Reverse,trpC,indole-3-glycerol phosphate synthase,,essential,non-essential,9,yes,no,
SE_1246,SYNPCC7942_RS06135,Synpcc7942_1198,1225805,1227244,Reverse,phdD,dihydrolipoamide dehydrogenase,,essential,non-essential,8,yes,yes,
SE_1247,SYNPCC7942_RS06140,(Synpcc7942_1199),1227303,1228079,Reverse,,"RNA methyltransferase, TrmH family",,non-essential,,,yes,no,
SE_1248,SYNPCC7942_RS06145,Synpcc7942_1200,1228048,1229061,Reverse,,conserved hypothetical protein,,non-essential,,,no,no,
SE_1249,SYNPCC7942_RS06150,Synpcc7942_1201,1229078,1230508,Reverse,,Glycosyltransferase involved in cell wall bisynthesis,,non-essential,,,no,no,
SE_1250,SYNPCC7942_RS06155,Synpcc7942_1202,1230512,1232980,Reverse,,hypothetical protein,,non-essential,,,no,no,"UTEX 2973 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1251,SYNPCC7942_RS06160,Synpcc7942_1203,1233050,1233463,Reverse,,PIN domain-containing protein,,non-essential,,,no,no,
SE_1252,SYNPCC7942_RS06165,Synpcc7942_1204,1233460,1233774,Reverse,,prevent-host-death family protein,,non-essential,,,no,no,
SE_1253,SYNPCC7942_RS06170,Synpcc7942_1205,1233775,1233939,Forward,,Phage integrase family protein,,non-essential,,,no,no,
SE_1254,SYNPCC7942_RS06175,Synpcc7942_1206,1233936,1234211,Forward,,Protein of unknown function (DUF2281),,non-essential,,,no,no,
SE_1255,SYNPCC7942_RS06180,Synpcc7942_1207,1234338,1234601,Reverse,,toxin YoeB,,non-essential,,,no,no,
SE_1256,SYNPCC7942_RS06185,Synpcc7942_1208,1234594,1234848,Reverse,,antitoxin YefM,,ambiguous,,,no,no,
SE_1257,SYNPCC7942_RS06190,Synpcc7942_1209,1234970,1235230,Reverse,,Protein of unknown function (DUF2442),,essential,non-essential,2,no,no,
SE_1258,SYNPCC7942_RS06195,Synpcc7942_1210,1235233,1235481,Reverse,,protein of unknown function (DUF4160),,non-essential,,,no,no,
SE_1259,SYNPCC7942_RS06200,Synpcc7942_1211,1235481,1235825,Reverse,,Protein of unknown function (DUF2442),,ambiguous,,,no,no,
SE_1260,SYNPCC7942_RS06205,Synpcc7942_1212,1235830,1236090,Reverse,,protein of unknown function (DUF4160),,non-essential,,,no,no,
SE_1261,SYNPCC7942_RS06210,,1236242,1236466,Forward,,hypothetical protein,,,,,,,
SE_1262,SYNPCC7942_RS06215,Synpcc7942_1213,1236470,1236886,Forward,,tRNA(fMet)-specific endonuclease VapC,,non-essential,,,no,no,
SE_1263,SYNPCC7942_RS06220,Synpcc7942_1214,1237017,1237520,Forward,gpx1,glutathione peroxidase,,non-essential,,,no,no,
SE_1264,SYNPCC7942_RS06225,Synpcc7942_1215,1237546,1238553,Forward,,Acyl-CoA dehydrogenase,,non-essential,,,no,no,
SE_1265,SYNPCC7942_RS06230,Synpcc7942_1216,1238550,1240109,Reverse,kaiC,circadian clock protein KaiC,,non-essential,,,no,no,
SE_1266,SYNPCC7942_RS06235,Synpcc7942_1217,1240159,1240467,Reverse,kaiB,circadian clock protein KaiB,,beneficial,,,no,no,
SE_1267,SYNPCC7942_RS06240,Synpcc7942_1218,1240557,1241411,Reverse,kaiA,circadian clock protein KaiA,,non-essential,,,no,no,
SE_1268,SYNPCC7942_RS06245,Synpcc7942_1219,1241649,1242032,Forward,rpl21,LSU ribosomal protein L21P,,essential,essential,107,yes,no,
SE_1269,SYNPCC7942_RS06250,Synpcc7942_1220,1242067,1242333,Forward,rpl27,LSU ribosomal protein L27P,,essential,non-essential,16,yes,no,
SE_1270,SYNPCC7942_RS06255,Synpcc7942_1221,1242455,1242832,Reverse,cheY,twitching motility two-component system responseregulator PilH,,non-essential,,,no,no,
SE_1271,SYNPCC7942_RS06260,Synpcc7942_1222,1242925,1243809,Forward,truB,tRNA pseudouridine synthase B,,non-essential,,,yes,no,
SE_1272,SYNPCC7942_RS06265,Synpcc7942_1223,1243830,1245008,Reverse,,putative ABC transport system permease protein,,non-essential,,,no,no,
SE_1273,SYNPCC7942_RS06270,Synpcc7942_1224,1244992,1246092,Reverse,,HlyD family secretion protein,,non-essential,,,no,no,
SE_1274,SYNPCC7942_RS06275,Synpcc7942_1225,1246181,1246927,Reverse,pcyA,phycocyanobilin ferredoxin oxidoreductase,,essential,essential,63,yes,no,
SE_1275,SYNPCC7942_RS06280,Synpcc7942_1226,1247104,1248369,Forward,,Predicted Zn-dependent peptidase,,non-essential,,,no,no,
SE_1276,SYNPCC7942_RS06285,Synpcc7942_R0046,1248477,1248551,Reverse,,tRNA-Val,,,non-essential,5,,,
SE_1277,SYNPCC7942_RS06290,Synpcc7942_1227,1248593,1249327,Reverse,radC,DNA replication and repair protein RadC,,non-essential,,,no,no,
SE_1278,SYNPCC7942_RS06295,Synpcc7942_1228,1249355,1250224,Forward,,Uncharacterized membrane protein,,non-essential,,,no,no,
SE_1279,SYNPCC7942_RS06300,(Synpcc7942_1229),1250193,1251023,Reverse,cobM,precorrin-4 C(11)-methyltransferase,,essential,non-essential,11,yes,no,"UTEX 2973 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1280,SYNPCC7942_RS06305,Synpcc7942_1230,1250977,1251846,Reverse,lgt,Prolipoprotein diacylglyceryl transferase,,ambiguous,,,yes,no,
SE_1281,SYNPCC7942_RS06310,Synpcc7942_1231,1251930,1252904,Reverse,cytf,apocytochrome f,,essential,essential,45,yes,no,
SE_1282,SYNPCC7942_RS06315,Synpcc7942_1232,1252950,1253489,Reverse,petC,cytochrome b6-f complex iron-sulfur subunit,,essential,essential,124,yes,yes,
SE_1283,SYNPCC7942_RS06320,Synpcc7942_1233,1253790,1254473,Reverse,,Ion channel,,non-essential,,,no,no,
SE_1284,SYNPCC7942_RS06325,Synpcc7942_1234,1254739,1255242,Forward,,Protein-S-isoprenylcysteine O-methyltransferase Ste14,,non-essential,,,no,no,
SE_1285,,,1255340,1255666,Forward,,hypothetical protein,,,,,,,"PCC 7942, UTEX 2973 annotation changed to reflect consensus of cyanobacteria annotations; evidence from PCC 7942 RNAseq data"
SE_1286,SYNPCC7942_RS06330,Synpcc7942_1235,1255757,1257946,Reverse,narB,assimilatory nitrate reductase (ferredoxin) precursor,,ambiguous,,,no,no,
SE_1287,SYNPCC7942_RS06335,Synpcc7942_1236,1258144,1258968,Reverse,nrtD,bicarbonate transport system ATP-binding protein/nitrate/nitrite transport system ATP-binding protein,,beneficial,,,no,no,
SE_1288,SYNPCC7942_RS06340,Synpcc7942_1237,1258978,1260957,Reverse,nrtC,nitrate/nitrite transport system ATP-binding protein,,beneficial,,,no,no,
SE_1289,SYNPCC7942_RS06345,Synpcc7942_1238,1260972,1261811,Reverse,nrtB,nitrate/nitrite transport system permease protein,,ambiguous,,,no,no,
SE_1290,SYNPCC7942_RS06350,Synpcc7942_1239,1261868,1263199,Reverse,nrtA,nitrate/nitrite transport system substrate-binding protein,,beneficial,,,no,no,
SE_1291,SYNPCC7942_RS06355,Synpcc7942_1240,1263263,1264801,Reverse,nirA,assimilatory nitrite reductase (ferredoxin) precursor,,essential,non-essential,19,no,no,
SE_1292,SYNPCC7942_RS06360,Synpcc7942_1241,1265088,1266137,Forward,nirB,HEAT repeat-containing protein,,beneficial,,,no,no,
SE_1293,SYNPCC7942_RS06365,Synpcc7942_1242,1266128,1267057,Forward,ntcB,"transcriptional regulator, LysR family",,beneficial,,,no,no,
SE_1294,SYNPCC7942_RS06370,Synpcc7942_1243,1267422,1268117,Reverse,,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,,non-essential,,,no,no,
SE_1295,SYNPCC7942_RS06375,Synpcc7942_1244,1268365,1269663,Forward,,lipopolysaccharide transport system ATP-binding protein,,beneficial,,,no,no,
SE_1296,SYNPCC7942_RS06380,Synpcc7942_1245,1270001,1270345,Forward,,C-terminal AAA-associated domain-containing protein,,non-essential,,,no,no,
SE_1297,SYNPCC7942_RS06385,Synpcc7942_1246,1270803,1272317,Forward,crtiso,prolycopene isomerase,,non-essential,,,no,no,
SE_1298,SYNPCC7942_RS06390,Synpcc7942_1247,1272322,1272561,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_1299,SYNPCC7942_RS06395,Synpcc7942_1248,1272551,1273123,Forward,,hypothetical protein,,non-essential,,,no,no,"UTEX 3055 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, PCC 7942 RNAseq data"
SE_1300,SYNPCC7942_RS06400,Synpcc7942_1249,1273621,1273755,Reverse,psaJ,photosystem I subunit 9,,essential,non-essential,6,no,no,
SE_1301,SYNPCC7942_RS06405,Synpcc7942_1250,1273781,1274260,Reverse,psaF,photosystem I subunit 3,,non-essential,,,no,yes,
SE_1302,SYNPCC7942_RS06410,Synpcc7942_1251,1274438,1275487,Forward,,O-sialoglycoprotein endopeptidase,,essential,non-essential,34,no,no,
SE_1303,SYNPCC7942_RS06415,Synpcc7942_1252,1275556,1276833,Forward,,DNA repair exonuclease SbcCD nuclease subunit,,beneficial,,,no,no,
SE_1304,SYNPCC7942_RS06420,Synpcc7942_1253,1276940,1277221,Reverse,,hypothetical protein,,non-essential,,,no,no,"UTEX 2973 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, PCC 7942 RNAseq data"
SE_1305,SYNPCC7942_RS06425,Synpcc7942_1254,1277460,1277855,Forward,,cyclic nucleotide-binding domain-containing protein,,non-essential,,,no,no,
SE_1306,SYNPCC7942_RS06430,Synpcc7942_1255,1277852,1279015,Reverse,,L-cysteine/cystine lyase,,non-essential,,,yes,no,
SE_1307,SYNPCC7942_RS06435,Synpcc7942_1256,1279079,1279633,Forward,gst,glutathione S-transferase,,non-essential,,,no,no,
SE_1308,SYNPCC7942_RS06440,Synpcc7942_1257,1279685,1281532,Forward,,H /Cl- antiporter ClcA,,non-essential,,,no,yes,
SE_1309,SYNPCC7942_RS06445,Synpcc7942_1258,1281532,1281945,Forward,,Uncharacterized conserved protein (DUF2358),,non-essential,,,no,yes,
SE_1310,SYNPCC7942_RS06450,Synpcc7942_1259,1281993,1283171,Forward,,arsenite efflux ATP-binding protein ArsA,,non-essential,,,no,yes,
SE_1311,SYNPCC7942_RS06455,Synpcc7942_1260,1283244,1284071,Forward,,Peptidase family M48,,non-essential,,,no,no,
SE_1312,SYNPCC7942_RS06460,(Synpcc7942_1261),1284223,1284951,Reverse,tpiA,triosephosphate isomerase,,essential,non-essential,5,yes,no,
SE_1313,SYNPCC7942_RS06465,Synpcc7942_1262,1285028,1286647,Reverse,,NAD(P)/FAD-dependent oxidoreductase,,non-essential,,,no,yes,
SE_1314,SYNPCC7942_RS06470,Synpcc7942_1263,1286711,1287835,Reverse,,putative N6-adenine-specific DNA methylase,,non-essential,,,no,no,
SE_1315,SYNPCC7942_RS06475,Synpcc7942_1264,1287939,1289582,Forward,nha2,"sodium/proton antiporter, CPA1 family",,non-essential,,,no,no,
SE_1316,SYNPCC7942_RS06480,Synpcc7942_1265,1289545,1290258,Reverse,,trk system potassium uptake protein TrkA,,non-essential,,,no,no,
SE_1317,SYNPCC7942_RS06485,Synpcc7942_1266,1290360,1290953,Reverse,rdgB,XTP/dITP diphosphohydrolase,,non-essential,,,yes,no,
SE_1318,SYNPCC7942_RS06490,Synpcc7942_1267,1290950,1291729,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_1319,SYNPCC7942_RS06495,Synpcc7942_1268,1291777,1293231,Reverse,,Phosphomannomutase,,essential,non-essential,7,yes,no,
SE_1320,SYNPCC7942_RS06500,Synpcc7942_1269,1293542,1294939,Forward,mgtE,magnesium transporter,,essential,non-essential,1,no,no,
SE_1321,SYNPCC7942_RS06505,(Synpcc7942_1270),1295219,1295425,Forward,,hypothetical protein,,essential,non-essential,21,no,no,
SE_1322,SYNPCC7942_RS06510,Synpcc7942_1271,1295438,1296175,Reverse,,Glycosyl transferase family 8,,essential,non-essential,0,no,no,
SE_1323,SYNPCC7942_RS06515,Synpcc7942_1272,1296234,1296761,Reverse,,Polyketide cyclase / dehydrase and lipid transport,,non-essential,,,no,no,
SE_1324,SYNPCC7942_RS06520,Synpcc7942_1273,1296812,1298347,Forward,,NAD(P)H-hydrate epimerase,,non-essential,,,no,no,
SE_1325,SYNPCC7942_RS06525,Synpcc7942_1274,1298630,1299157,Reverse,ycf37,TPR repeat-containing protein,,essential,non-essential,4,yes,yes,
SE_1326,SYNPCC7942_RS06530,Synpcc7942_1275,1299187,1300350,Reverse,,TIGR00341 family protein,,non-essential,,,no,no,
SE_1327,SYNPCC7942_RS06535,Synpcc7942_1276,1300381,1301163,Reverse,gtrC,"amino acid ABC transporter substrate-binding protein, PAAT family",,non-essential,,,no,no,
SE_1328,SYNPCC7942_RS06540,Synpcc7942_1277,1301174,1301524,Reverse,rplT,LSU ribosomal protein L20P,,essential,essential,44,yes,no,
SE_1329,SYNPCC7942_RS06545,Synpcc7942_1278,1301569,1301769,Reverse,rpmI,LSU ribosomal protein L35P,,essential,non-essential,0,yes,no,
SE_1330,SYNPCC7942_RS06550,Synpcc7942_1279,1301796,1302047,Reverse,,hypothetical protein,,non-essential,,,no,no,"UTEX 3055 annotation added to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, PCC 7942 RNAseq data"
SE_1331,SYNPCC7942_RS06555,Synpcc7942_1280,1302044,1303138,Reverse,,"Uncharacterized membrane protein YgaE, UPF0421/DUF939 family",,non-essential,,,no,no,
SE_1332,SYNPCC7942_RS06560,Synpcc7942_1281,1303144,1303836,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_1333,SYNPCC7942_RS06565,Synpcc7942_1282,1304480,1305463,Reverse,moaA,cyclic pyranopterin monophosphate synthase subunit MoaA,,essential,non-essential,4,no,no,
SE_1334,SYNPCC7942_RS06570,Synpcc7942_1283,1305460,1305957,Reverse,moaE,molybdopterin synthase subunit MoaE,,essential,non-essential,1,no,no,
SE_1335,SYNPCC7942_RS06575,Synpcc7942_1284,1305960,1306232,Reverse,moaD,hypothetical protein,,ambiguous,,,no,no,
SE_1336,SYNPCC7942_RS06580,Synpcc7942_1285,1306229,1307200,Reverse,moaC,bifunctional molybdenum cofactor biosynthesis protein MoaC/MoaB,,essential,non-essential,2,no,no,
SE_1337,SYNPCC7942_RS06585,Synpcc7942_1286,1307304,1308515,Forward,moeA,molybdopterin molybdochelatase,,essential,non-essential,2,no,no,
SE_1338,SYNPCC7942_RS06590,Synpcc7942_1287,1309030,1310862,Forward,,VCBS repeat-containing protein,,non-essential,,,no,no,
SE_1339,SYNPCC7942_RS06595,Synpcc7942_1288,1311028,1311534,Forward,,Protein of unknown function (DUF4240),,non-essential,,,no,no,
SE_1340,SYNPCC7942_RS06600,Synpcc7942_1289,1311841,1313181,Forward,pmbA,PmbA protein,,non-essential,,,no,no,
SE_1341,SYNPCC7942_RS13750,Synpcc7942_1290,1313290,1313460,Reverse,smtA,metallothionein,,beneficial,,,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1342,SYNPCC7942_RS06605,Synpcc7942_1291,1313561,1313929,Forward,smtB,"transcriptional regulator, ArsR family",,non-essential,,,no,no,
SE_1343,SYNPCC7942_RS06610,Synpcc7942_1292,1313939,1316023,Reverse,dnaG,DNA primase,,essential,non-essential,2,yes,no,
SE_1344,SYNPCC7942_RS06615,Synpcc7942_1293,1316166,1318598,Reverse,pheT,phenylalanyl-tRNA synthetase beta subunit,,essential,non-essential,13,yes,no,
SE_1345,SYNPCC7942_RS06620,Synpcc7942_1294,1318734,1320302,Forward,,serine/threonine protein kinase,,non-essential,,,no,yes,
SE_1346,SYNPCC7942_RS06625,Synpcc7942_1295,1320370,1321758,Reverse,,Acyltransferase,,non-essential,,,no,no,
SE_1347,SYNPCC7942_RS06630,Synpcc7942_1296,1321898,1322593,Forward,,conserved hypothetical protein,,non-essential,,,no,no,
SE_1348,SYNPCC7942_RS06635,Synpcc7942_1297,1322910,1324319,Forward,,malate dehydrogenase (oxaloacetate-decarboxylating),,non-essential,,,no,no,
SE_1349,SYNPCC7942_RS06640,Synpcc7942_1298,1325107,1326837,Forward,,diguanylate cyclase (GGDEF) domain-containing protein,,non-essential,,,no,no,
SE_1350,SYNPCC7942_RS06645,Synpcc7942_1299,1326892,1327854,Reverse,,"Uncharacterized conserved protein, DUF362 family",,non-essential,,,no,no,
SE_1351,SYNPCC7942_RS06650,Synpcc7942_1300,1328093,1328662,Forward,,5-formyltetrahydrofolate cyclo-ligase,,non-essential,,,yes,no,
SE_1352,SYNPCC7942_RS06655,(Synpcc7942_1301),1328720,1330141,Forward,recQ,ATP-dependent DNA helicase RecQ,,non-essential,,,no,yes,
SE_1353,SYNPCC7942_RS06660,Synpcc7942_1302,1330250,1330726,Forward,,"Nucleotide-binding universal stress protein, UspA family",,non-essential,,,no,no,
SE_1354,SYNPCC7942_RS06665,Synpcc7942_1303,1330752,1331150,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_1355,SYNPCC7942_RS06670,Synpcc7942_1304,1331160,1331732,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_1356,SYNPCC7942_RS06675,Synpcc7942_1305,1331834,1333444,Reverse,,peptide/nickel transport system ATP-binding protein,,non-essential,,,no,no,
SE_1357,SYNPCC7942_RS06680,Synpcc7942_1306,1333522,1334082,Reverse,,Protein of unknown function (DUF3172),,essential,non-essential,13,no,no,
SE_1358,SYNPCC7942_RS06685,Synpcc7942_1307,1334181,1334996,Forward,,"ABC-type multidrug transport system, permease component",,non-essential,,,no,no,
SE_1359,SYNPCC7942_RS06690,(Synpcc7942_1308),1335063,1336076,Forward,trpS,tryptophanyl-tRNA synthetase,,essential,non-essential,0,yes,no,
SE_1360,SYNPCC7942_RS06695,Synpcc7942_1309,1336073,1337005,Forward,metF,methylenetetrahydrofolate reductase (NADPH),,essential,non-essential,0,yes,no,
SE_1361,SYNPCC7942_RS06700,Synpcc7942_1310,1337076,1338047,Forward,cmpR,"DNA-binding transcriptional regulator, LysR family",,beneficial,,,no,no,
SE_1362,SYNPCC7942_RS06705,(Synpcc7942_1311),1338222,1338596,Reverse,,transposase,,non-essential,,,no,no,"UTEX 2973 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1363,SYNPCC7942_RS06710,Synpcc7942_1312,1338656,1340458,Reverse,,"ATP-binding cassette, subfamily B",,essential,non-essential,2,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1364,SYNPCC7942_RS06715,Synpcc7942_1313,1340634,1342433,Forward,aspS,aspartyl-tRNA synthetase,,essential,essential,56,yes,no,
SE_1365,SYNPCC7942_RS06720,Synpcc7942_1314,1342534,1344405,Reverse,ftsH,membrane protease FtsH catalytic subunit,,non-essential,,,yes,yes,
SE_1366,SYNPCC7942_RS06725,Synpcc7942_1315,1344583,1345983,Reverse,gid,methylenetetrahydrofolate--tRNA-(uracil-5-)-meth yltransferase,,non-essential,,,no,no,
SE_1367,SYNPCC7942_RS06730,Synpcc7942_1316,1346077,1347114,Reverse,mntC,Mn transporter MntC,,non-essential,,,no,no,
SE_1368,SYNPCC7942_RS06735,Synpcc7942_1317,1347173,1347910,Forward,mntA,manganese/iron transport system ATP-binding protein,,non-essential,,,no,no,
SE_1369,SYNPCC7942_RS06740,Synpcc7942_1318,1347917,1348768,Forward,mntB,manganese/iron transport system permease protein,,non-essential,,,no,no,
SE_1370,SYNPCC7942_RS06745,Synpcc7942_1319,1348834,1349373,Forward,,pyrimidine operon attenuation protein / uracil phosphoribosyltransferase,,non-essential,,,yes,no,
SE_1371,SYNPCC7942_RS06750,Synpcc7942_1320,1349340,1350296,Reverse,,CHAD domain-containing protein,,non-essential,,,no,no,
SE_1372,SYNPCC7942_RS06755,Synpcc7942_1321,1350414,1351433,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_1373,SYNPCC7942_RS06760,Synpcc7942_1322,1351613,1351840,Forward,psaE,photosystem I subunit 4,,non-essential,,,yes,yes,
SE_1374,SYNPCC7942_RS06765,Synpcc7942_1323,1351949,1352797,Forward,fpg,DNA-(apurinic or apyrimidinic site) lyase /Formamidopyrimidine-DNA glycosylase,,non-essential,,,yes,no,
SE_1375,SYNPCC7942_RS06770,Synpcc7942_1324,1352829,1355588,Reverse,,Superfamily II RNA helicase,,non-essential,,,yes,yes,
SE_1376,SYNPCC7942_RS06775,Synpcc7942_1325,1355787,1357151,Forward,dnaB,primary replicative DNA helicase,,essential,non-essential,11,no,no,
SE_1377,SYNPCC7942_RS06780,Synpcc7942_1326,1357232,1360693,Forward,mfd,transcription-repair coupling factor,,non-essential,,,yes,no,
SE_1378,SYNPCC7942_RS06785,Synpcc7942_1327,1360808,1361101,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_1379,SYNPCC7942_RS06790,Synpcc7942_1328,1361167,1361559,Forward,,Uncharacterized membrane protein,,non-essential,,,no,no,
SE_1380,SYNPCC7942_RS06795,Synpcc7942_1329,1361879,1362505,Forward,,uncharacterized protein,,non-essential,,,no,yes,
SE_1381,SYNPCC7942_RS06800,Synpcc7942_1330,1362508,1363164,Forward,,Methyltransferase domain-containing protein,,non-essential,,,no,yes,"UTEX 2973 annotation changed to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1382,SYNPCC7942_RS06805,Synpcc7942_1331,1363290,1363466,Forward,,Chlorophyll A-B binding protein,,beneficial,,,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1383,SYNPCC7942_RS06810,Synpcc7942_1332,1363471,1364091,Forward,,Organic radical activating enzyme,,beneficial,,,no,no,
SE_1384,SYNPCC7942_RS06815,Synpcc7942_1333,1364091,1364786,Forward,,preQ(0) biosynthesis protein QueC,,beneficial,,,yes,no,
SE_1385,SYNPCC7942_RS06820,Synpcc7942_1334,1364783,1366180,Forward,trpE,"aminodeoxychorismate synthase, subunit I",,beneficial,,,no,no,
SE_1386,SYNPCC7942_RS06825,Synpcc7942_1335,1366177,1366971,Forward,,branched-chain amino acid aminotransferase,,beneficial,,,no,yes,
SE_1387,SYNPCC7942_RS06830,Synpcc7942_1336,1367261,1368343,Forward,,TIGR03032 family protein,,non-essential,,,no,no,
SE_1388,SYNPCC7942_RS06835,Synpcc7942_1337,1368411,1372715,Forward,,Integrins alpha chain,,non-essential,,,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data, conserved BLAST domains, PCC 7942 RNAseq data"
SE_1389,SYNPCC7942_RS06840,Synpcc7942_1338,1372863,1373645,Reverse,,Protein of unknown function (DUF3747),,non-essential,,,no,no,
