,new_locus_tag,old_locus_tag,start,end,strand,ncbi_gene_name,gene_name,biocyc_gene_name,Deutschbauer_gene,gene_product_old,gene_product,Deutschbauer_product,KEGG_ko
1323,SYNPCC7942_RS06655,Synpcc7942_1301,1328720,1330141,+,SYNPCC7942_RS06655,recQ,recQ,SYNPCC7942_RS06655,ATP-dependent DNA helicase RecQ,"ATP-dependent DNA helicase, RecQ family",SYNPCC7942_RS06655,K03654
1324,SYNPCC7942_RS06660,Synpcc7942_1302,1330250,1330726,+,SYNPCC7942_RS06660,SYNPCC7942_1302,SYNPCC7942_1302,SYNPCC7942_RS06660,universal stress protein,conserved hypothetical protein,SYNPCC7942_RS06660,
1325,SYNPCC7942_RS06665,Synpcc7942_1303,1330752,1331150,-,SYNPCC7942_RS06665,SYNPCC7942_1303,SYNPCC7942_1303,SYNPCC7942_RS06665,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS06665,
1326,SYNPCC7942_RS06670,Synpcc7942_1304,1331160,1331732,-,SYNPCC7942_RS06670,SYNPCC7942_1304,SYNPCC7942_1304,SYNPCC7942_RS06670,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS06670,
1327,SYNPCC7942_RS06675,Synpcc7942_1305,1331834,1333444,-,SYNPCC7942_RS06675,SYNPCC7942_1305,SYNPCC7942_1305,SYNPCC7942_RS06675,ABC transporter ATP-binding protein,ATPase,SYNPCC7942_RS06675,"K02031,ko:K02032"
1328,SYNPCC7942_RS06680,Synpcc7942_1306,1333522,1334082,-,SYNPCC7942_RS06680,SYNPCC7942_1306,SYNPCC7942_1306,,DUF3172 domain-containing protein,conserved hypothetical protein,hypothetical protein,
1329,SYNPCC7942_RS06685,Synpcc7942_1307,1334181,1334996,+,SYNPCC7942_RS06685,SYNPCC7942_1307,SYNPCC7942_1307,SYNPCC7942_RS06685,ABC transporter permease,putative ABC-2 type transport system permease protein,SYNPCC7942_RS06685,
1330,SYNPCC7942_RS06690,Synpcc7942_1308,1335063,1336076,+,trpS,trpS,trpS,trpS,tryptophan--tRNA ligase,tryptophanyl-tRNA synthetase,tryptophanyl-tRNA synthetase,K01867
1331,SYNPCC7942_RS06695,Synpcc7942_1309,1336073,1337005,+,SYNPCC7942_RS06695,SYNPCC7942_1309,SYNPCC7942_1309,metF,methylenetetrahydrofolate reductase,methylenetetrahydrofolate reductase,hypothetical protein,K00297
1332,SYNPCC7942_RS06700,Synpcc7942_1310,1337076,1338047,+,SYNPCC7942_RS06700,cmpR,cmpR,SYNPCC7942_RS06700,LysR family transcriptional regulator,CmpR transcriptional regulator,SYNPCC7942_RS06700,K21703
1333,SYNPCC7942_RS06705,Synpcc7942_1311,1338222,1338596,-,SYNPCC7942_RS06705,SYNPCC7942_1311,SYNPCC7942_1311,SYNPCC7942_RS06705,helix-turn-helix domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS06705,
1334,SYNPCC7942_RS06710,Synpcc7942_1312,1338656,1340458,-,SYNPCC7942_RS06710,SYNPCC7942_1312,SYNPCC7942_1312,,ABC transporter ATP-binding protein,ATPase,ATPase,K06147
1335,SYNPCC7942_RS06715,Synpcc7942_1313,1340634,1342433,+,aspS,aspS,aspS,aspS,aspartate--tRNA ligase,aspartyl-tRNA synthetase,aspartyl-tRNA synthetase,K01876
1336,SYNPCC7942_RS06720,Synpcc7942_1314,1342534,1344405,-,hflB,ftsH4,ftsH4,SYNPCC7942_RS06720,ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein,ATP-dependent metalloprotease FtsH,SYNPCC7942_RS06720,K03798
1337,SYNPCC7942_RS06725,Synpcc7942_1315,1344583,1345983,-,trmFO,gid,gid,SYNPCC7942_RS06725,FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO,gid protein,SYNPCC7942_RS06725,K04094
1338,SYNPCC7942_RS06730,Synpcc7942_1316,1346077,1347114,-,SYNPCC7942_RS06730,mntC1,mntC1,SYNPCC7942_RS06730,zinc ABC transporter solute-binding protein,Mn transporter MntC,SYNPCC7942_RS06730,"K02077,ko:K09818"
1339,SYNPCC7942_RS06735,Synpcc7942_1317,1347173,1347910,+,SYNPCC7942_RS06735,mntA1,mntA1,SYNPCC7942_RS06735,metal ABC transporter ATP-binding protein,ATPase,SYNPCC7942_RS06735,K09820
1340,SYNPCC7942_RS06740,Synpcc7942_1318,1347917,1348768,+,SYNPCC7942_RS06740,mntB1,mntB1,SYNPCC7942_RS06740,metal ABC transporter permease,manganese transport system membrane protein MntB,SYNPCC7942_RS06740,K09819
1341,SYNPCC7942_RS06745,Synpcc7942_1319,1348834,1349373,+,pyrR,pyrR,pyrR,SYNPCC7942_RS06745,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase,SYNPCC7942_RS06745,K02825
1342,SYNPCC7942_RS06750,Synpcc7942_1320,1349340,1350296,-,SYNPCC7942_RS06750,SYNPCC7942_1320,SYNPCC7942_1320,SYNPCC7942_RS06750,CHAD domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS06750,
1343,SYNPCC7942_RS06755,Synpcc7942_1321,1350414,1351433,-,SYNPCC7942_RS06755,SYNPCC7942_1321,SYNPCC7942_1321,SYNPCC7942_RS06755,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS06755,
1344,SYNPCC7942_RS06760,Synpcc7942_1322,1351613,1351840,+,SYNPCC7942_RS06760,psaE,psaE,SYNPCC7942_RS06760,photosystem I reaction center subunit IV,PsaE,SYNPCC7942_RS06760,K02693
1345,SYNPCC7942_RS06765,Synpcc7942_1323,1351949,1352797,+,SYNPCC7942_RS06765,mutM,mutM,SYNPCC7942_RS06765,DNA-formamidopyrimidine glycosylase,formamidopyrimidine-DNA glycosylase,SYNPCC7942_RS06765,K10563
1346,SYNPCC7942_RS06770,Synpcc7942_1324,1352829,1355588,-,SYNPCC7942_RS06770,SYNPCC7942_1324,SYNPCC7942_1324,SYNPCC7942_RS06770,DEAD/DEAH box helicase,"DNA/RNA helicase, DEAD/DEAH box type",SYNPCC7942_RS06770,
1347,SYNPCC7942_RS06775,Synpcc7942_1325,1355787,1357151,+,dnaB,DnaB,DnaB,dnaB,replicative DNA helicase,replicative DNA helicase,primary replicative DNA helicase,K02314
1348,SYNPCC7942_RS06780,Synpcc7942_1326,1357232,1360693,+,mfd,mfd,mfd,SYNPCC7942_RS06780,transcription-repair coupling factor,transcription-repair coupling factor,SYNPCC7942_RS06780,K03723
1349,SYNPCC7942_RS06785,Synpcc7942_1327,1360808,1361101,+,SYNPCC7942_RS06785,SYNPCC7942_1327,SYNPCC7942_1327,SYNPCC7942_RS06785,hypothetical protein,hypothetical protein,SYNPCC7942_RS06785,
1350,SYNPCC7942_RS06790,Synpcc7942_1328,1361167,1361559,+,SYNPCC7942_RS06790,SYNPCC7942_1328,SYNPCC7942_1328,SYNPCC7942_RS06790,DUF1622 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS06790,
1351,SYNPCC7942_RS06795,Synpcc7942_1329,1361879,1362505,+,SYNPCC7942_RS06795,SYNPCC7942_1329,SYNPCC7942_1329,SYNPCC7942_RS06795,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS06795,K06872
1352,SYNPCC7942_RS06800,Synpcc7942_1330,1362508,1363164,+,SYNPCC7942_RS06800,SYNPCC7942_1330,SYNPCC7942_1330,SYNPCC7942_RS06800,methyltransferase domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS06800,
1353,SYNPCC7942_RS06805,Synpcc7942_1331,1363290,1363466,+,SYNPCC7942_RS06805,SYNPCC7942_1331,SYNPCC7942_1331,SYNPCC7942_RS06805,hypothetical protein,CAB/ELIP/HLIP superfamily protein,SYNPCC7942_RS06805,
1354,SYNPCC7942_RS06810,Synpcc7942_1332,1363471,1364091,+,SYNPCC7942_RS06810,SYNPCC7942_1332,SYNPCC7942_1332,SYNPCC7942_RS06810,7-carboxy-7-deazaguanine synthase QueE,conserved hypothetical protein,SYNPCC7942_RS06810,K10026
1355,SYNPCC7942_RS06815,Synpcc7942_1333,1364091,1364786,+,queC,queC,queC,SYNPCC7942_RS06815,7-cyano-7-deazaguanine synthase QueC,Queuosine biosynthesis protein,SYNPCC7942_RS06815,K06920
1356,SYNPCC7942_RS06820,Synpcc7942_1334,1364783,1366180,+,pabB,pabB,pabB,SYNPCC7942_RS06820,aminodeoxychorismate synthase component I,"para-aminobenzoate synthase, component I",SYNPCC7942_RS06820,K01665
1357,SYNPCC7942_RS06825,Synpcc7942_1335,1366177,1366971,+,SYNPCC7942_RS06825,pabC,pabC,SYNPCC7942_RS06825,branched chain amino acid aminotransferase,probable branched-chain amino acid aminotransferase,SYNPCC7942_RS06825,"K00826,ko:K02619"
1358,SYNPCC7942_RS06830,Synpcc7942_1336,1367261,1368343,+,SYNPCC7942_RS06830,SYNPCC7942_1336,SYNPCC7942_1336,SYNPCC7942_RS06830,TIGR03032 family protein,conserved hypothetical protein,SYNPCC7942_RS06830,
1359,SYNPCC7942_RS06835,Synpcc7942_1337,1368405,1372715,+,SYNPCC7942_RS06835,SYNPCC7942_RS06835,SYNPCC7942_RS06835,SYNPCC7942_RS06835,type I secretion C-terminal target domain-containing protein,SYNPCC7942_RS06835,SYNPCC7942_RS06835,
1360,SYNPCC7942_RS06840,Synpcc7942_1338,1372863,1373645,-,SYNPCC7942_RS06840,SYNPCC7942_1338,SYNPCC7942_1338,SYNPCC7942_RS06840,DUF3747 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS06840,
1361,SYNPCC7942_RS06845,Synpcc7942_1339,1373779,1373973,-,SYNPCC7942_RS06845,SYNPCC7942_1339,SYNPCC7942_1339,SYNPCC7942_RS06845,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS06845,
1362,SYNPCC7942_RS06850,Synpcc7942_1340,1374061,1374639,-,def,def,def,def,peptide deformylase,Peptide deformylase,peptide deformylase,K01462
1363,SYNPCC7942_RS06855,Synpcc7942_1341,1374756,1375841,+,SYNPCC7942_RS06855,SYNPCC7942_1341,SYNPCC7942_1341,SYNPCC7942_RS06855,AI-2E family transporter,conserved hypothetical protein,SYNPCC7942_RS06855,
1364,SYNPCC7942_RS06860,Synpcc7942_1342,1375911,1377002,+,gmd,rfbD,rfbD,gmd,GDP-mannose 4%2C6-dehydratase,"GDP-mannose 4,6-dehydratase","GDP-mannose 4,6-dehydratase",K01711
1365,SYNPCC7942_RS06865,Synpcc7942_1343,1377217,1378335,+,nuoH,ndhA,ndhA,ndhA,NADH-quinone oxidoreductase subunit NuoH,NADH dehydrogenase subunit 1,NADH dehydrogenase subunit H,K05572
1366,SYNPCC7942_RS06870,Synpcc7942_1344,1378378,1378986,+,ndhI,ndhI,ndhI,SYNPCC7942_RS06870,NAD(P)H-quinone oxidoreductase subunit I,"NADH-plastoquinone oxidoreductase, I subunit NADH-quinone oxidoreductase, chain I",SYNPCC7942_RS06870,K05580
1367,SYNPCC7942_RS06875,Synpcc7942_1345,1378990,1379595,+,SYNPCC7942_RS06875,ndhG,ndhG,ndhG,NADH-quinone oxidoreductase subunit J,NADH dehydrogenase subunit 6,NADH dehydrogenase subunit J,K05578
1368,SYNPCC7942_RS06880,Synpcc7942_1346,1379614,1379925,+,nuoK,ndhE,ndhE,ndhE,NADH-quinone oxidoreductase subunit NuoK,NADH dehydrogenase subunit 4L,NADH dehydrogenase subunit K,K05576
1369,SYNPCC7942_RS06885,Synpcc7942_1347,1380019,1381014,-,SYNPCC7942_RS06885,SYNPCC7942_1347,SYNPCC7942_1347,SYNPCC7942_RS06885,2-hydroxyacid dehydrogenase,2-hydroxyacid dehydrogenase-like,SYNPCC7942_RS06885,K03778
1370,SYNPCC7942_RS06890,Synpcc7942_1348,1381032,1381331,-,SYNPCC7942_RS06890,SYNPCC7942_1348,SYNPCC7942_1348,SYNPCC7942_RS06890,hypothetical protein,hypothetical protein,SYNPCC7942_RS06890,
1371,SYNPCC7942_RS06895,Synpcc7942_1349,1381367,1382053,-,SYNPCC7942_RS06895,SYNPCC7942_1349,SYNPCC7942_1349,SYNPCC7942_RS06895,alpha/beta fold hydrolase,conserved hypothetical protein,SYNPCC7942_RS06895,K07000
1372,SYNPCC7942_RS06900,,1382050,1382382,-,patD,SYNPCC7942_RS06900,SYNPCC7942_RS06900,SYNPCC7942_RS06900,heterocyst frequency control protein PatD,SYNPCC7942_RS06900,SYNPCC7942_RS06900,
1373,SYNPCC7942_RS06905,Synpcc7942_1351,1382386,1383078,-,SYNPCC7942_RS06905,SYNPCC7942_1351,SYNPCC7942_1351,SYNPCC7942_RS06905,HAD-IA family hydrolase,"HAD-superfamily hydrolase subfamily IA, variant 3",SYNPCC7942_RS06905,
1374,SYNPCC7942_RS06910,Synpcc7942_1352,1383192,1385162,+,acs,acsA,acsA,SYNPCC7942_RS06910,acetate--CoA ligase,Acetate--CoA ligase,SYNPCC7942_RS06910,K01895
1375,SYNPCC7942_RS06915,Synpcc7942_1353,1385412,1386080,+,SYNPCC7942_RS06915,SYNPCC7942_1353,SYNPCC7942_1353,SYNPCC7942_RS06915,DUF3120 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS06915,
1376,SYNPCC7942_RS06920,Synpcc7942_1354,1386587,1388083,+,SYNPCC7942_RS06920,SYNPCC7942_1354,SYNPCC7942_1354,SYNPCC7942_RS06920,MFS transporter,putative export protein,SYNPCC7942_RS06920,
1377,SYNPCC7942_RS06925,Synpcc7942_1355,1388109,1390898,-,SYNPCC7942_RS06925,SYNPCC7942_1355,SYNPCC7942_1355,SYNPCC7942_RS06925,EAL domain-containing protein,Two-component response regulator,SYNPCC7942_RS06925,
1378,SYNPCC7942_RS06930,Synpcc7942_1356,1390895,1391350,-,SYNPCC7942_RS06930,SYNPCC7942_1356,SYNPCC7942_1356,SYNPCC7942_RS06930,response regulator,response regulator receiver domain protein (CheY-like),SYNPCC7942_RS06930,
1379,SYNPCC7942_RS06935,,1391347,1395309,-,SYNPCC7942_RS06935,SYNPCC7942_RS06935,SYNPCC7942_RS06935,SYNPCC7942_RS06935,PAS domain S-box protein,SYNPCC7942_RS06935,SYNPCC7942_RS06935,
1380,SYNPCC7942_RS06940,Synpcc7942_1358,1397087,1397878,-,SYNPCC7942_RS06940,SYNPCC7942_1358,SYNPCC7942_1358,SYNPCC7942_RS06940,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS06940,
1381,SYNPCC7942_RS06950,Synpcc7942_1359,1398294,1399499,-,SYNPCC7942_RS06950,SYNPCC7942_RS06950,SYNPCC7942_RS06950,,hypothetical protein,SYNPCC7942_RS06950,coenzyme F420 hydrogenase,K21231
1382,SYNPCC7942_RS06955,Synpcc7942_1360,1399742,1401052,+,SYNPCC7942_RS06955,SYNPCC7942_1360,SYNPCC7942_1360,SYNPCC7942_RS06955,LCP family protein,cell envelope-related function transcriptional attenuator common domain,SYNPCC7942_RS06955,
1383,SYNPCC7942_RS06960,Synpcc7942_1361,1401085,1401588,+,SYNPCC7942_RS06960,SYNPCC7942_1361,SYNPCC7942_1361,SYNPCC7942_RS06960,pentapeptide repeat-containing protein,conserved hypothetical protein,SYNPCC7942_RS06960,
1384,SYNPCC7942_RS06965,Synpcc7942_1362,1401672,1402157,+,SYNPCC7942_RS06965,SYNPCC7942_1362,SYNPCC7942_1362,SYNPCC7942_RS06965,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS06965,
1385,SYNPCC7942_RS06970,,1402440,1402640,+,SYNPCC7942_RS06970,SYNPCC7942_RS06970,SYNPCC7942_RS06970,SYNPCC7942_RS06970,hypothetical protein,SYNPCC7942_RS06970,SYNPCC7942_RS06970,
1386,SYNPCC7942_RS06975,Synpcc7942_1364,1402687,1403103,+,SYNPCC7942_RS06975,SYNPCC7942_1364,SYNPCC7942_1364,SYNPCC7942_RS06975,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS06975,
1387,SYNPCC7942_RS06985,Synpcc7942_1365,1403362,1404060,-,SYNPCC7942_RS06985,SYNPCC7942_1365,SYNPCC7942_1365,SYNPCC7942_RS06985,NAAT family transporter,Multiple antibiotic resistance (MarC)-related proteins,SYNPCC7942_RS06985,K05595
1388,SYNPCC7942_RS06990,Synpcc7942_1366,1404292,1405203,-,SYNPCC7942_RS06990,menA,menA,menA,2-carboxy-1%2C4-naphthoquinone phytyltransferase,"1,4-dihydroxy-2-naphthoate phytyltransferase","1,4-dihydroxy-2-naphthoate octaprenyltransferase",K02548
1389,SYNPCC7942_RS06995,Synpcc7942_1367,1405262,1406629,+,SYNPCC7942_RS06995,SYNPCC7942_1367,SYNPCC7942_1367,SYNPCC7942_RS06995,cytochrome P450,cytochrome P450,SYNPCC7942_RS06995,
1390,SYNPCC7942_RS07000,Synpcc7942_1368,1406657,1406992,+,SYNPCC7942_RS07000,SYNPCC7942_1368,SYNPCC7942_1368,SYNPCC7942_RS07000,SH3 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS07000,
1391,SYNPCC7942_RS07005,Synpcc7942_1369,1407235,1407837,+,recR,recR,recR,SYNPCC7942_RS07005,recombination protein RecR,recombination protein RecR,SYNPCC7942_RS07005,K06187
1392,SYNPCC7942_RS07010,Synpcc7942_1370,1407963,1408202,+,SYNPCC7942_RS07010,SYNPCC7942_1370,SYNPCC7942_1370,SYNPCC7942_RS07010,hypothetical protein,hypothetical protein,SYNPCC7942_RS07010,
1393,SYNPCC7942_RS07015,Synpcc7942_1371,1408205,1409368,-,corA,corA,corA,SYNPCC7942_RS07015,magnesium/cobalt transporter CorA,magnesium and cobalt transport protein CorA,SYNPCC7942_RS07015,K03284
1394,SYNPCC7942_RS14010,,1409391,1409561,-,SYNPCC7942_RS14010,SYNPCC7942_RS14010,SYNPCC7942_RS14010,SYNPCC7942_RS14010,hypothetical protein,SYNPCC7942_RS14010,SYNPCC7942_RS14010,
1395,SYNPCC7942_RS07020,Synpcc7942_1372,1409560,1413132,+,metH,metH,metH,metH,methionine synthase,5-methyltetrahydrofolate--homocysteine methyltransferase,methionine synthase (B12-dependent),K00548
1396,SYNPCC7942_RS07025,Synpcc7942_1373,1413287,1413982,-,SYNPCC7942_RS07025,hupE,hupE,SYNPCC7942_RS07025,HupE/UreJ family protein,hydrogenase accessory protein,SYNPCC7942_RS07025,K03192
1397,SYNPCC7942_RS07030,Synpcc7942_1374,1414283,1415914,-,SYNPCC7942_RS07030,truD,truD,SYNPCC7942_RS07030,RluA family pseudouridine synthase,tRNA pseudouridine synthase D,SYNPCC7942_RS07030,K06177
1398,SYNPCC7942_RS07035,Synpcc7942_1375,1415985,1416506,-,SYNPCC7942_RS07035,SYNPCC7942_1375,SYNPCC7942_1375,SYNPCC7942_RS07035,NAD(P)H-dependent oxidoreductase,conserved hypothetical protein,SYNPCC7942_RS07035,
1399,SYNPCC7942_RS07040,,1416706,1417296,-,SYNPCC7942_RS07040,SYNPCC7942_RS07040,SYNPCC7942_RS07040,SYNPCC7942_RS07040,hypothetical protein,SYNPCC7942_RS07040,SYNPCC7942_RS07040,
1400,SYNPCC7942_RS07045,Synpcc7942_1377,1417585,1419879,+,SYNPCC7942_RS07045,SYNPCC7942_1377,SYNPCC7942_1377,SYNPCC7942_RS07045,bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase,metal dependent phosphohydrolase,SYNPCC7942_RS07045,"K00951,ko:K01139"
1401,SYNPCC7942_RS07050,Synpcc7942_1378,1419926,1421167,-,SYNPCC7942_RS07050,SYNPCC7942_1378,SYNPCC7942_1378,,hypothetical protein,conserved hypothetical protein,hypothetical protein,K00748
1402,SYNPCC7942_RS07060,Synpcc7942_1379,1421475,1422836,+,accC,accC,accC,accC,acetyl-CoA carboxylase biotin carboxylase subunit,"acetyl-CoA carboxylase, biotin carboxylase",acetyl-CoA carboxylase biotin carboxylase subunit,K01961
1403,SYNPCC7942_RS07065,Synpcc7942_1380,1422879,1424603,+,sulP,sulP,sulP,SYNPCC7942_RS07065,solute carrier 26 family protein,SulP domain protein,SYNPCC7942_RS07065,K03321
1404,SYNPCC7942_RS07070,Synpcc7942_1381,1424685,1426610,+,SYNPCC7942_RS07070,SYNPCC7942_1381,SYNPCC7942_1381,SYNPCC7942_RS07070,ABC-F family ATP-binding cassette domain-containing protein,ATP-binding component of ABC transporter,SYNPCC7942_RS07070,K15738
1405,SYNPCC7942_RS07075,,1427573,1429711,+,SYNPCC7942_RS07075,SYNPCC7942_RS07075,SYNPCC7942_RS07075,SYNPCC7942_RS07075,EAL domain-containing protein,SYNPCC7942_RS07075,SYNPCC7942_RS07075,
1406,SYNPCC7942_RS07080,Synpcc7942_1383,1429798,1430310,-,SYNPCC7942_RS07080,SYNPCC7942_1383,SYNPCC7942_1383,ppa,inorganic diphosphatase,Inorganic diphosphatase,Inorganic diphosphatase,K01507
1407,SYNPCC7942_RS07085,Synpcc7942_1384,1430567,1431283,+,SYNPCC7942_RS07085,SYNPCC7942_1384,SYNPCC7942_1384,SYNPCC7942_RS07085,META domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS07085,
1408,SYNPCC7942_RS07090,Synpcc7942_1385,1431285,1431539,-,SYNPCC7942_RS07090,SYNPCC7942_1385,SYNPCC7942_1385,SYNPCC7942_RS07090,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS07090,
1409,SYNPCC7942_RS07095,Synpcc7942_1386,1431627,1432760,-,SYNPCC7942_RS07095,SYNPCC7942_1386,SYNPCC7942_1386,,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,probable adenosyltransferase,hypothetical protein,K19221
1410,SYNPCC7942_RS07100,Synpcc7942_1387,1432853,1433680,+,larE,SYNPCC7942_1387,SYNPCC7942_1387,SYNPCC7942_RS07100,ATP-dependent sacrificial sulfur transferase LarE,conserved hypothetical protein,SYNPCC7942_RS07100,K06864
1411,SYNPCC7942_RS07105,Synpcc7942_1388,1433659,1434372,+,SYNPCC7942_RS07105,ecaA,ecaA,SYNPCC7942_RS07105,carbonic anhydrase,carbonic anhydrase,SYNPCC7942_RS07105,K01674
1412,SYNPCC7942_RS07110,Synpcc7942_1389,1434538,1435620,-,psbA,psbA2,psbA2,SYNPCC7942_RS07110,photosystem II q(b) protein,photosystem II D1 protein,SYNPCC7942_RS07110,K02703
1413,SYNPCC7942_RS07115,Synpcc7942_1390,1435722,1436066,-,SYNPCC7942_RS07115,SYNPCC7942_1390,SYNPCC7942_1390,SYNPCC7942_RS07115,histidine triad nucleotide-binding protein,protein kinase C inhibitor,SYNPCC7942_RS07115,K02503
1414,SYNPCC7942_RS07120,Synpcc7942_1391,1436154,1437692,+,SYNPCC7942_RS07120,SYNPCC7942_1391,SYNPCC7942_1391,SYNPCC7942_RS07120,YifB family Mg chelatase-like AAA ATPase,Mg chelatase-related protein,SYNPCC7942_RS07120,K07391
1415,SYNPCC7942_RS07125,Synpcc7942_1392,1437916,1441983,-,SYNPCC7942_RS07125,phoA,phoA,SYNPCC7942_RS07125,DUF4214 domain-containing protein,alkaline phosphatase,SYNPCC7942_RS07125,
1416,SYNPCC7942_RS07130,Synpcc7942_1393,1442504,1443418,+,SYNPCC7942_RS07130,SYNPCC7942_1393,SYNPCC7942_1393,SYNPCC7942_RS07130,histone deacetylase,histone deacetylase/AcuC/AphA family protein-like,SYNPCC7942_RS07130,
1417,SYNPCC7942_RS07135,Synpcc7942_1394,1443546,1445309,+,SYNPCC7942_RS07135,SYNPCC7942_1394,SYNPCC7942_1394,SYNPCC7942_RS07135,M61 family metallopeptidase,PDZ/DHR/GLGF,SYNPCC7942_RS07135,
1418,SYNPCC7942_RS07140,Synpcc7942_1395,1445306,1445725,+,SYNPCC7942_RS07140,SYNPCC7942_1395,SYNPCC7942_1395,SYNPCC7942_RS07140,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS07140,
1419,SYNPCC7942_RS07145,Synpcc7942_1396,1445743,1446000,-,SYNPCC7942_RS07145,SYNPCC7942_1396,SYNPCC7942_1396,SYNPCC7942_RS07145,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS07145,
1420,SYNPCC7942_RS07150,Synpcc7942_1397,1446191,1447519,+,SYNPCC7942_RS07150,SYNPCC7942_1397,SYNPCC7942_1397,SYNPCC7942_RS07150,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS07150,
1421,SYNPCC7942_RS07155,Synpcc7942_1398,1447847,1450069,-,SYNPCC7942_RS07155,bcsA2,bcsA2,SYNPCC7942_RS07155,glycosyltransferase,Cellulose synthase (UDP-forming),SYNPCC7942_RS07155,K00694
1422,SYNPCC7942_RS07160,Synpcc7942_1399,1450087,1451322,-,SYNPCC7942_RS07160,SYNPCC7942_1399,SYNPCC7942_1399,SYNPCC7942_RS07160,HlyD family efflux transporter periplasmic adaptor subunit,conserved hypothetical protein,SYNPCC7942_RS07160,
1423,SYNPCC7942_RS07165,Synpcc7942_1400,1451255,1452376,-,SYNPCC7942_RS07165,xynA,xynA,SYNPCC7942_RS07165,endo-1%2C4-beta-xylanase,"Endo-1,4-beta-xylanase",SYNPCC7942_RS07165,K01181
1424,SYNPCC7942_RS07170,Synpcc7942_1401,1452727,1453104,-,SYNPCC7942_RS07170,SYNPCC7942_1401,SYNPCC7942_1401,,VOC family protein,conserved hypothetical protein,hypothetical protein,
1425,SYNPCC7942_RS07175,Synpcc7942_1402,1453317,1454576,+,SYNPCC7942_RS07175,SYNPCC7942_1402,SYNPCC7942_1402,SYNPCC7942_RS07175,zinc ribbon domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS07175,
1426,SYNPCC7942_RS07180,Synpcc7942_1403,1454593,1455369,-,gloB,gloB,gloB,SYNPCC7942_RS07180,hydroxyacylglutathione hydrolase,Hydroxyacylglutathione hydrolase,SYNPCC7942_RS07180,K01069
1427,SYNPCC7942_RS07185,Synpcc7942_1404,1455395,1456084,-,SYNPCC7942_RS07185,SYNPCC7942_1404,SYNPCC7942_1404,,response regulator transcription factor,"two component transcriptional regulator, winged helix family","two component transcriptional regulator, winged helix family",K11521
1428,SYNPCC7942_RS07190,Synpcc7942_1405,1456260,1456787,+,SYNPCC7942_RS07190,SYNPCC7942_1405,SYNPCC7942_1405,SYNPCC7942_RS07190,DUF192 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS07190,K09005
1429,SYNPCC7942_RS07195,Synpcc7942_1406,1456803,1457909,-,SYNPCC7942_RS07195,futC,futC,futC,ABC transporter ATP-binding protein,Fe (III) ABC transporter ATP-binding protein,ATPase,K02010
1430,SYNPCC7942_RS07200,Synpcc7942_1407,1458057,1459688,+,SYNPCC7942_RS07200,futB,futB,futB,iron ABC transporter permease,Fe (III) ABC transporter permease protein,iron(III) ABC transporter permease protein,K02011
1431,SYNPCC7942_RS07205,Synpcc7942_1408,1459920,1460555,+,SYNPCC7942_RS07205,mapA,mapA,SYNPCC7942_RS07205,class I SAM-dependent methyltransferase,Fe (III) ABC transporter membrane-associated protein,SYNPCC7942_RS07205,
1432,SYNPCC7942_RS07210,Synpcc7942_1409,1460847,1461869,+,SYNPCC7942_RS07210,futA2,futA2,SYNPCC7942_RS07210,Fe(3+) ABC transporter substrate-binding protein,Fe (III) ABC transporter substrate-binding protein,SYNPCC7942_RS07210,K02012
1433,SYNPCC7942_RS07215,Synpcc7942_1410,1461949,1463571,-,SYNPCC7942_RS07215,leuA2,leuA2,leuA,2-isopropylmalate synthase,2-isopropylmalate synthase,2-isopropylmalate synthase,K01649
