locus_tag,old_locus_tag,new_annot,gene_name,new_product,cycbio_gene_name,cycbio_gene_product,COG,uniprot,start,end,strand,operon,accession
SYNPCC7942_RS05945,Synpcc7942_1160,SE_1207,SE_1207,Nucleoside-diphosphate-sugar epimerase,SYNPCC7942_1160,conserved hypothetical protein,Carbohydrate transport and metabolism,A0A0H3K0K4,1193397,1194299,+,,
SYNPCC7942_RS05950,Synpcc7942_1161,SE_1208,SE_1208,transporter family-2 protein,SYNPCC7942_1161,conserved hypothetical protein,Function unknown,A0A0H3K361,1194348,1194842,+,,
SYNPCC7942_RS05955,Synpcc7942_1162,SE_1209,SE_1209,transporter family-2 protein,SYNPCC7942_1162,conserved hypothetical protein,Function unknown,A0A0H3JZU3,1194846,1195301,+,,
SYNPCC7942_RS05960,Synpcc7942_1163,SE_1210,SE_1210,Fucose permease,SYNPCC7942_1163,conserved hypothetical protein,Carbohydrate transport and metabolism,Q31P26,1195317,1196492,+,,
SYNPCC7942_RS13740,,SE_1211,SE_1211,hypothetical protein,SYNPCC7942_RS13740,SYNPCC7942_RS13740,"Replication, recombination and repair",UPI0009D65FB2,1196398,1196730,-,,
SYNPCC7942_RS05970,Synpcc7942_1164,SE_1212,SE_1212,hypothetical protein,SYNPCC7942_1164,conserved hypothetical protein,No COG annotation,Q31P25,1197417,1198841,+,,
SYNPCC7942_RS05975,Synpcc7942_1165,SE_1213,SE_1213,phosphorylase,SYNPCC7942_1165,hypothetical protein,Nucleotide transport and metabolism,UPI0012DE5452,1198844,1199272,-,,
SYNPCC7942_RS05980,Synpcc7942_1166,SE_1214,SE_1214,Site-specific DNA recombinase,SYNPCC7942_1166,conserved hypothetical protein,"Replication, recombination and repair",A0A0H3K354,1199437,1200762,+,,
SYNPCC7942_RS05985,Synpcc7942_1167,SE_1215,SE_1215,CpeS-like protein,SYNPCC7942_1167,conserved hypothetical protein,Coenzyme transport and metabolism,Q31P22,1200773,1201330,-,,
SYNPCC7942_RS05990,Synpcc7942_1168,SE_1216,cpmA,hypothetical protein,cpmA,circadian phase modifier CpmA,Function unknown,Q9WWQ0,1201327,1202109,-,,
SYNPCC7942_RS05995,Synpcc7942_1169,SE_1217,SE_1217,peptide/nickel transport system substrate-binding protein,oppA,"oligopeptide ABC transporter, periplasmic oligopeptide-binding protein",Amino acid transport and metabolism,UPI0012DDA309,1202102,1203871,-,,
SYNPCC7942_RS06000,Synpcc7942_1170,SE_1218,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,MECDP-synthase,Lipid transport and metabolism,Q31P19,1203837,1204319,-,,
SYNPCC7942_RS06005,Synpcc7942_1171,SE_1219,SE_1219,deoxyribodipyrimidine photolyase-related protein,SYNPCC7942_1171,conserved hypothetical protein,Function unknown,Q31P18,1204598,1206109,-,,
SYNPCC7942_RS06010,Synpcc7942_1172,SE_1220,lnt,apolipoprotein N-acyltransferase,lnt,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,UPI00003A00A4,1206148,1207596,-,,
SYNPCC7942_RS06015,Synpcc7942_1173,SE_1221,SE_1221,DUF2064 domain-containing protein,SYNPCC7942_1173,conserved hypothetical protein,Function unknown,Q31P16,1207866,1209134,+,,
SYNPCC7942_RS13745,Synpcc7942_1174,SE_1222,psbJ,photosystem II PsbJ protein,SYNPCC7942_RS13745,SYNPCC7942_RS13745,Function unknown,Q8KPP0,1209224,1209343,-,,
SYNPCC7942_RS06020,Synpcc7942_1175,SE_1223,psbL,photosystem II PsbL protein,psbL,PsbL,"Intracellular trafficking, secretion, and vesicular transport",Q8KPP1,1209424,1209546,-,,
SYNPCC7942_RS06025,Synpcc7942_1176,SE_1224,psbF,photosystem II cytochrome b559 subunit beta,psbF,PsbF,Energy production and conversion,Q5N555,1209559,1209693,-,,
SYNPCC7942_RS06030,Synpcc7942_1177,SE_1225,psbE,photosystem II cytochrome b559 subunit alpha,psbE,PsbE,Energy production and conversion,Q5N556,1209715,1209966,-,,
SYNPCC7942_RS06035,Synpcc7942_1178,SE_1226,SE_1226,Uncharacterized protein,SYNPCC7942_1178,photosystem II stability and ssembly factor,Function unknown,Q31P11,1210031,1211080,-,,
SYNPCC7942_RS06040,Synpcc7942_1179,SE_1227,rub,Rubredoxin,rubR,rubredoxin,Energy production and conversion,A0A0H3K002,1211113,1211529,-,,
SYNPCC7942_RS06045,Synpcc7942_1180,SE_1228,ndhC,NAD(P)H-quinone oxidoreductase subunit 3,ndhC,NADH dehydrogenase subunit 3,Energy production and conversion,UPI000584A2EA,1211742,1212104,+,,
SYNPCC7942_RS06050,Synpcc7942_1181,SE_1229,ndhK,NADH dehydrogenase subunit B,ndhK,"NADH-quinone oxidoreductase, B subunit",Energy production and conversion,Q31P08,1212095,1212802,+,,
SYNPCC7942_RS06055,Synpcc7942_1182,SE_1230,ndhJ,NADH dehydrogenase subunit C,ndhJ,NADH dehydrogenase I subunit J,Energy production and conversion,Q31P07,1212795,1213313,+,,
SYNPCC7942_RS06060,Synpcc7942_1183,SE_1231,SE_1231,hypothetical protein,SYNPCC7942_1183,conserved hypothetical protein,No COG annotation,UPI00003A00A9,1213471,1214214,+,,
SYNPCC7942_RS06065,Synpcc7942_1184,SE_1232,SE_1232,6-pyruvoyltetrahydropterin/6-carboxytetrahydropt erin synthase,sscR1,6-pyruvoyl-tetrahydropterin synthase-like protein,Coenzyme transport and metabolism,UPI00003A00AA,1214278,1215141,+,,
SYNPCC7942_RS06070,Synpcc7942_1185,SE_1233,SE_1233,hypothetical protein,SYNPCC7942_1185,conserved hypothetical protein,No COG annotation,A0A0H3K343,1215373,1215648,+,,
SYNPCC7942_RS06075,Synpcc7942_1186,SE_1234,ribD,5-amino-6-(5-phosphoribosylamino)uracil reductase,ribD2,putative riboflavin-specific deaminase,Coenzyme transport and metabolism,A0A0H3JZS0,1215652,1216350,+,,
SYNPCC7942_RS06080,Synpcc7942_1187,SE_1235,SE_1235,N-acetyltransferase,SYNPCC7942_1187,conserved hypothetical protein,Function unknown,Q31P02,1216357,1217532,+,,
SYNPCC7942_RS06085,Synpcc7942_1188,SE_1236,SE_1236,protein of unknown function (DUF4346),apa1,Ap-4-A phosphorylase II-like protein,Coenzyme transport and metabolism,A0A0H3K5W6,1217650,1218042,+,,
SYNPCC7942_RS06090,Synpcc7942_1189,SE_1237,mobA,molybdenum cofactor guanylyltransferase,mobA1,molybdopterin-guanine dinucleotide biosynthesis protein A,Coenzyme transport and metabolism,O06866,1218046,1218630,-,,
SYNPCC7942_RS06095,Synpcc7942_1190,SE_1238,lap,leucyl aminopeptidase Metallo peptidase. MEROPS family M17,pepA,Leucyl aminopeptidase,Amino acid transport and metabolism,O06865,1218720,1220180,-,,
SYNPCC7942_RS06100,Synpcc7942_1191,SE_1239,gmk,guanylate kinase,gmk,Guanylate kinase,Nucleotide transport and metabolism,Q8KPQ7,1220349,1220900,+,,
SYNPCC7942_RS06105,,SE_1240,SE_1240,hypothetical protein,SYNPCC7942_1192,conserved hypothetical protein,No COG annotation,,1221071,1221583,-,,
SYNPCC7942_RS06110,Synpcc7942_1193,SE_1241,SE_1241,acyltransferase,plsC1,Phospholipid/glycerol acyltransferase,Lipid transport and metabolism,UPI00003A00B0,1221676,1222443,-,,
SYNPCC7942_RS06115,Synpcc7942_1194,SE_1242,pdxJ,pyridoxine 5'-phosphate synthase,pdxJ,pyridoxal phosphate biosynthetic protein PdxJ,Coenzyme transport and metabolism,Q3V812,1222773,1223495,+,,
SYNPCC7942_RS06120,,SE_1243,SE_1243,hypothetical protein,SYNPCC7942_RS06120,SYNPCC7942_RS06120,No COG annotation,UPI0012DE70E5,1223718,1224221,+,,
SYNPCC7942_RS06125,Synpcc7942_1196,SE_1244,sipA,Protein of unknown function (DUF3148),sipA,SipA regulatory factor,Function unknown,A0A0H3JZZ2,1224298,1224534,+,,
SYNPCC7942_RS06130,Synpcc7942_1197,SE_1245,trpC,indole-3-glycerol phosphate synthase,trpC,Indole-3-glycerol-phosphate synthase,Amino acid transport and metabolism,Q5N575,1224841,1225728,-,,
SYNPCC7942_RS06135,Synpcc7942_1198,SE_1246,phdD,dihydrolipoamide dehydrogenase,pdhD,pyruvate dehydrogenase complex E3 component momomer,Energy production and conversion,Q31NZ1,1225805,1227244,-,,
SYNPCC7942_RS06140,Synpcc7942_1199,SE_1247,SE_1247,"RNA methyltransferase, TrmH family",SYNPCC7942_1199,probable tRNA/rRNA methyltransferase,"Translation, ribosomal structure and biogenesis",A0A0H3K0H5,1227303,1228079,-,,
SYNPCC7942_RS06145,Synpcc7942_1200,SE_1248,SE_1248,conserved hypothetical protein,SYNPCC7942_1200,conserved hypothetical protein,Function unknown,UPI0012DF8943,1228048,1228968,-,,
SYNPCC7942_RS06150,Synpcc7942_1201,SE_1249,SE_1249,Glycosyltransferase involved in cell wall bisynthesis,SYNPCC7942_1201,probable glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q8KPR8,1229078,1230508,-,,
SYNPCC7942_RS06155,Synpcc7942_1202,SE_1250,SE_1250,hypothetical protein,SYNPCC7942_1202,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31NY7,1230512,1232980,-,,
SYNPCC7942_RS06160,Synpcc7942_1203,SE_1251,SE_1251,PIN domain-containing protein,SYNPCC7942_1203,conserved hypothetical protein,Function unknown,A0A0H3K5V4,1233050,1233463,-,,
SYNPCC7942_RS06165,Synpcc7942_1204,SE_1252,SE_1252,prevent-host-death family protein,phd1,Prevent-host-death protein,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K0H0,1233460,1233774,-,,
SYNPCC7942_RS06170,Synpcc7942_1205,SE_1253,SE_1253,Phage integrase family protein,SYNPCC7942_1205,phage_integrase-like,"Replication, recombination and repair",A0A0H3K323,1233775,1233939,+,,
SYNPCC7942_RS06175,Synpcc7942_1206,SE_1254,SE_1254,Protein of unknown function (DUF2281),SYNPCC7942_1206,conserved hypothetical protein,Function unknown,A0A0H3JZQ0,1233936,1234211,+,,
SYNPCC7942_RS06180,Synpcc7942_1207,SE_1255,SE_1255,toxin YoeB,yoeB,"Addiction module toxin, Txe and YoeB",Function unknown,A0A0H3JZX6,1234338,1234601,-,,
SYNPCC7942_RS06185,Synpcc7942_1208,SE_1256,SE_1256,antitoxin YefM,phd2,Prevent-host-death protein,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K5U7,1234594,1234848,-,,
SYNPCC7942_RS06190,Synpcc7942_1209,SE_1257,SE_1257,Protein of unknown function (DUF2442),SYNPCC7942_1209,conserved hypothetical protein,Function unknown,A0A0H3K0G3,1234970,1235230,-,,
SYNPCC7942_RS06195,Synpcc7942_1210,SE_1258,SE_1258,protein of unknown function (DUF4160),SYNPCC7942_1210,conserved hypothetical protein,Function unknown,Q79PE8,1235233,1235481,-,,
SYNPCC7942_RS06200,Synpcc7942_1211,SE_1259,SE_1259,Protein of unknown function (DUF2442),mobA2,molybdopterin-guanine dinucleotide synthase,Function unknown,A0A0H3JZP3,1235481,1235825,-,,
SYNPCC7942_RS06205,Synpcc7942_1212,SE_1260,SE_1260,protein of unknown function (DUF4160),SYNPCC7942_1212,conserved hypothetical protein,Function unknown,A0A0H3JZX0,1235830,1236090,-,,
SYNPCC7942_RS06210,,SE_1261,SE_1261,hypothetical protein,SYNPCC7942_RS06210,SYNPCC7942_RS06210,No COG annotation,UPI00003A00BC,1236242,1236466,+,,
SYNPCC7942_RS06215,Synpcc7942_1213,SE_1262,SE_1262,tRNA(fMet)-specific endonuclease VapC,VapC,virulence associated protein C,Function unknown,Q79PF1,1236470,1236886,+,,
SYNPCC7942_RS06220,Synpcc7942_1214,SE_1263,gpx1,glutathione peroxidase,gpx1,Glutathione peroxidase,Energy production and conversion,Q79PF2,1237017,1237520,+,,
SYNPCC7942_RS06225,Synpcc7942_1215,SE_1264,SE_1264,Acyl-CoA dehydrogenase,SYNPCC7942_1215,acyl-CoA dehydrogenase family protein-like,Lipid transport and metabolism,Q79PF3,1237546,1238553,+,,
SYNPCC7942_RS06230,Synpcc7942_1216,SE_1265,kaiC,circadian clock protein KaiC,kaiC,KaiC-P KaiC circadian clock protein,Nucleotide transport and metabolism,A0A0H3JZN7,1238550,1240109,-,,
SYNPCC7942_RS06235,Synpcc7942_1217,SE_1266,kaiB,circadian clock protein KaiB,kaiB,KaiB monomer,Transcription,Q5N595,1240159,1240467,-,,
SYNPCC7942_RS06240,Synpcc7942_1218,SE_1267,kaiA,circadian clock protein KaiA,kaiA,KaiA monomer,Function unknown,Q79PF6,1240557,1241411,-,,
SYNPCC7942_RS06245,Synpcc7942_1219,SE_1268,rpl21,LSU ribosomal protein L21P,rplU,50S ribosomal subunit protein L21,"Translation, ribosomal structure and biogenesis",Q9Z3H5,1241649,1242032,+,,
SYNPCC7942_RS06250,Synpcc7942_1220,SE_1269,rpl27,LSU ribosomal protein L27P,rpmA,50S ribosomal subunit protein L27,"Translation, ribosomal structure and biogenesis",Q5N598,1242067,1242333,+,,
SYNPCC7942_RS06255,Synpcc7942_1221,SE_1270,cheY,twitching motility two-component system responseregulator PilH,SYNPCC7942_1221,response regulator receiver domain protein (CheY-like),Signal transduction mechanisms,Q79PF9,1242455,1242832,-,,
SYNPCC7942_RS06260,Synpcc7942_1222,SE_1271,truB,tRNA pseudouridine synthase B,truB,tRNA pseudouridine synthase B,"Translation, ribosomal structure and biogenesis",Q5N5A0,1242925,1243809,+,,
SYNPCC7942_RS06265,Synpcc7942_1223,SE_1272,SE_1272,putative ABC transport system permease protein,devC,"glycolipid ABC exporter, membrane spanning subunit",Defense mechanisms,Q8KPS7,1243830,1245008,-,,
SYNPCC7942_RS06270,Synpcc7942_1224,SE_1273,SE_1273,HlyD family secretion protein,devB,ABC-transporter membrane fusion protein,Cell wall/membrane/envelope biogenesis,A0A0H3K306,1244992,1246092,-,,
SYNPCC7942_RS06275,Synpcc7942_1225,SE_1274,pcyA,phycocyanobilin ferredoxin oxidoreductase,pcyA,phycocyanobilin:ferredoxin oxidoreductase,Energy production and conversion,Q8KPS9,1246181,1246927,-,,
SYNPCC7942_RS06280,Synpcc7942_1226,SE_1275,SE_1275,Predicted Zn-dependent peptidase,SYNPCC7942_1226,processing protease,Function unknown,Q31NW3,1247104,1248369,+,,
SYNPCC7942_RS06290,Synpcc7942_1227,SE_1277,radC,DNA replication and repair protein RadC,radC,DNA repair protein RadC,Amino acid transport and metabolism,A0A0H3JZV9,1248593,1249327,-,,
SYNPCC7942_RS06295,Synpcc7942_1228,SE_1278,SE_1278,Uncharacterized membrane protein,SYNPCC7942_1228,conserved hypothetical protein,Amino acid transport and metabolism,Q31NW1,1249355,1250224,+,,
SYNPCC7942_RS06300,Synpcc7942_1229,SE_1279,cobM,precorrin-4 C(11)-methyltransferase,cobM,precorrin-4 C11-methyltransferase,Coenzyme transport and metabolism,A0A0H3K0E1,1250193,1251023,-,,
SYNPCC7942_RS06305,Synpcc7942_1230,SE_1280,lgt,Prolipoprotein diacylglyceryl transferase,lgt,prolipoprotein diacylglyceryl transferase,Cell wall/membrane/envelope biogenesis,Q31NV9,1250977,1251846,-,,
SYNPCC7942_RS06310,Synpcc7942_1231,SE_1281,cytf,apocytochrome f,petA,PetA,Energy production and conversion,Q31NV8,1251930,1252904,-,,
SYNPCC7942_RS06315,Synpcc7942_1232,SE_1282,petC,cytochrome b6-f complex iron-sulfur subunit,petC,PetC,Energy production and conversion,Q31NV7,1252950,1253489,-,,
SYNPCC7942_RS06320,Synpcc7942_1233,SE_1283,SE_1283,Ion channel,SYNPCC7942_1233,conserved hypothetical protein,Inorganic ion transport and metabolism,A0A0H3K301,1253790,1254473,-,,
SYNPCC7942_RS06325,Synpcc7942_1234,SE_1284,SE_1284,Protein-S-isoprenylcysteine O-methyltransferase Ste14,SYNPCC7942_1234,conserved hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q31NV5,1254739,1255242,+,,
SYNPCC7942_RS06330,Synpcc7942_1235,SE_1286,narB,assimilatory nitrate reductase (ferredoxin) precursor,narB,ferredoxin-nitrate reductase,Energy production and conversion,P39458,1255757,1257946,-,,
SYNPCC7942_RS06335,Synpcc7942_1236,SE_1287,nrtD,bicarbonate transport system ATP-binding protein/nitrate/nitrite transport system ATP-binding protein,nrtD,nitrate transport ATP-binding subunit D,Inorganic ion transport and metabolism,A0A0H3K5S3,1258144,1258968,-,,
SYNPCC7942_RS06340,Synpcc7942_1237,SE_1288,nrtC,nitrate/nitrite transport system ATP-binding protein,nrtC,nitrate transport ATP-binding subunit C,Inorganic ion transport and metabolism,A0A0H3K0D6,1258978,1260957,-,,
SYNPCC7942_RS06345,Synpcc7942_1238,SE_1289,nrtB,nitrate/nitrite transport system permease protein,nrtB,nitrate transport permease,Inorganic ion transport and metabolism,A0A0H3K2Z5,1260972,1261811,-,,
SYNPCC7942_RS06350,Synpcc7942_1239,SE_1290,nrtA,nitrate/nitrite transport system substrate-binding protein,nrtA,NrtA,Inorganic ion transport and metabolism,A0A0H3JZL5,1261868,1263199,-,,
SYNPCC7942_RS06355,Synpcc7942_1240,SE_1291,nirA,assimilatory nitrite reductase (ferredoxin) precursor,nirA,ferredoxin--nitrite reductase,Energy production and conversion,A0A0H3JZV0,1263263,1264801,-,,
SYNPCC7942_RS06360,Synpcc7942_1241,SE_1292,nirB,HEAT repeat-containing protein,nirB,nitrite reductase related protein,Energy production and conversion,A0A0H3K5R8,1265088,1266137,+,,
SYNPCC7942_RS06365,Synpcc7942_1242,SE_1293,ntcB,"transcriptional regulator, LysR family",ntcB,nitrate assimilation transcriptional activator,Transcription,A0A0H3K0D0,1266128,1267057,+,,
SYNPCC7942_RS14005,,SYNPCC7942_RS14005,SYNPCC7942_RS14005,SYNPCC7942_RS14005,SYNPCC7942_RS14005,SYNPCC7942_RS14005,No COG annotation,UPI0012DC1862,1267114,1267269,-,,
SYNPCC7942_RS06370,Synpcc7942_1243,SE_1294,SE_1294,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,SYNPCC7942_1243,cyclic nucleotide-binding domain (cNMP-BD) protein,Transcription,A0A0H3K2Y9,1267422,1268117,-,,
SYNPCC7942_RS06375,Synpcc7942_1244,SE_1295,SE_1295,lipopolysaccharide transport system ATP-binding protein,SYNPCC7942_1244,ATPase,Carbohydrate transport and metabolism,UPI0012DFE1FD,1268347,1269663,+,,
SYNPCC7942_RS06380,Synpcc7942_1245,SE_1296,SE_1296,C-terminal AAA-associated domain-containing protein,SYNPCC7942_1245,conserved hypothetical protein,Inorganic ion transport and metabolism,Q31NU4,1270001,1270345,+,,
SYNPCC7942_RS06385,Synpcc7942_1246,SE_1297,crtiso,prolycopene isomerase,crtiso,carotene isomerase,"Secondary metabolites biosynthesis, transport, and catabolism",Q31NU3,1270803,1272317,+,,
SYNPCC7942_RS06390,Synpcc7942_1247,SE_1298,SE_1298,hypothetical protein,SYNPCC7942_1247,conserved hypothetical protein,No COG annotation,A0A0H3K0C3,1272322,1272561,+,,
SYNPCC7942_RS06395,Synpcc7942_1248,SE_1299,SE_1299,hypothetical protein,SYNPCC7942_1248,conserved hypothetical protein,No COG annotation,Q31NU1,1272551,1273123,+,,
SYNPCC7942_RS06400,Synpcc7942_1249,SE_1300,psaJ,photosystem I subunit 9,psaJ,PsaJ,Function unknown,UPI000049BBD6,1273621,1273755,-,,
SYNPCC7942_RS06405,Synpcc7942_1250,SE_1301,psaF,photosystem I subunit 3,psaF,PsaF,Function unknown,P31083,1273781,1274260,-,,
SYNPCC7942_RS06410,Synpcc7942_1251,SE_1302,SE_1302,O-sialoglycoprotein endopeptidase,SYNPCC7942_1251,"metalloendopeptidase, putative, glycoprotease family","Translation, ribosomal structure and biogenesis",A0A0H3JZK5,1274438,1275487,+,,
SYNPCC7942_RS06415,Synpcc7942_1252,SE_1303,SE_1303,DNA repair exonuclease SbcCD nuclease subunit,SYNPCC7942_1252,DNA repair protein RAD32-like,"Replication, recombination and repair",Q31NT7,1275556,1276833,+,,
SYNPCC7942_RS06420,Synpcc7942_1253,SE_1304,SE_1304,hypothetical protein,SYNPCC7942_1253,conserved hypothetical protein,No COG annotation,Q31NT6,1276940,1277221,-,,
SYNPCC7942_RS06425,Synpcc7942_1254,SE_1305,SE_1305,cyclic nucleotide-binding domain-containing protein,SYNPCC7942_1254,cyclic nucleotide-binding domain (cNMP-BD) protein,Signal transduction mechanisms,UPI000049BF23,1277460,1277855,+,,
SYNPCC7942_RS06430,Synpcc7942_1255,SE_1306,SE_1306,L-cysteine/cystine lyase,csdB,L-cysteine/cystine lyase,Amino acid transport and metabolism,A0A0H3K0B6,1277852,1279015,-,,
SYNPCC7942_RS06435,Synpcc7942_1256,SE_1307,gst,glutathione S-transferase,gst2,glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",A0A0H3K2X6,1279079,1279633,+,,
SYNPCC7942_RS06440,Synpcc7942_1257,SE_1308,SE_1308,H /Cl- antiporter ClcA,SYNPCC7942_1257,chloride channel-like,Inorganic ion transport and metabolism,Q31NT2,1279685,1281532,+,,
SYNPCC7942_RS06445,Synpcc7942_1258,SE_1309,SE_1309,Uncharacterized conserved protein (DUF2358),SYNPCC7942_1258,conserved hypothetical protein,Function unknown,Q31NT1,1281532,1281945,+,,
SYNPCC7942_RS06450,Synpcc7942_1259,SE_1310,SE_1310,arsenite efflux ATP-binding protein ArsA,arsA,arsenite-activated ATPase (arsA),Inorganic ion transport and metabolism,Q31NT0,1281993,1283171,+,,
SYNPCC7942_RS06455,Synpcc7942_1260,SE_1311,SE_1311,Peptidase family M48,SYNPCC7942_1260,conserved hypothetical protein,Function unknown,Q31NS9,1283244,1284071,+,,
SYNPCC7942_RS06460,Synpcc7942_1261,SE_1312,tpiA,triosephosphate isomerase,tpiA,triosephosphate isomerase,Nucleotide transport and metabolism,UPI0005862AAE,1284223,1284951,-,,
SYNPCC7942_RS06465,Synpcc7942_1262,SE_1313,SE_1313,NAD(P)/FAD-dependent oxidoreductase,SYNPCC7942_1262,uncharacterized FAD-dependent dehydrogenase,Function unknown,A0A0H3JZJ5,1285028,1286647,-,,
SYNPCC7942_RS06470,Synpcc7942_1263,SE_1314,SE_1314,putative N6-adenine-specific DNA methylase,SYNPCC7942_1263,N6-adenine-specific DNA methylase-like,"Replication, recombination and repair",Q31NS6,1286711,1287835,-,,
SYNPCC7942_RS06475,Synpcc7942_1264,SE_1315,nha2,"sodium/proton antiporter, CPA1 family",SYNPCC7942_1264,Na+ and H+ antiporter,Inorganic ion transport and metabolism,UPI0009D7433C,1288008,1289582,+,,
SYNPCC7942_RS06480,Synpcc7942_1265,SE_1316,SE_1316,trk system potassium uptake protein TrkA,SYNPCC7942_1265,conserved hypothetical protein,Inorganic ion transport and metabolism,Q31NS4,1289545,1290258,-,,
SYNPCC7942_RS06485,Synpcc7942_1266,SE_1317,rdgB,XTP/dITP diphosphohydrolase,SYNPCC7942_1266,Ham1-like protein,Nucleotide transport and metabolism,Q31NS3,1290360,1290953,-,,
SYNPCC7942_RS06490,Synpcc7942_1267,SE_1318,SE_1318,hypothetical protein,SYNPCC7942_1267,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31NS2,1290950,1291729,-,,
SYNPCC7942_RS06495,Synpcc7942_1268,SE_1319,SE_1319,Phosphomannomutase,pgm2,Phosphoglucomutase,Carbohydrate transport and metabolism,A0A0H3JZR7,1291777,1293231,-,,
SYNPCC7942_RS06500,Synpcc7942_1269,SE_1320,mgtE,magnesium transporter,mgtE,magnesium transporter,Inorganic ion transport and metabolism,Q31NS0,1293542,1294939,+,,
SYNPCC7942_RS06505,,SE_1321,SE_1321,hypothetical protein,SYNPCC7942_RS06505,SYNPCC7942_RS06505,Function unknown,UPI00003A00E5,1295219,1295425,+,,
SYNPCC7942_RS06510,Synpcc7942_1271,SE_1322,SE_1322,Glycosyl transferase family 8,SYNPCC7942_1271,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,A0A0H3K098,1295438,1296175,-,,
SYNPCC7942_RS06515,Synpcc7942_1272,SE_1323,SE_1323,Polyketide cyclase / dehydrase and lipid transport,SYNPCC7942_1272,conserved hypothetical protein,Function unknown,Q31NR7,1296234,1296761,-,,
SYNPCC7942_RS06520,Synpcc7942_1273,SE_1324,SE_1324,NAD(P)H-hydrate epimerase,SYNPCC7942_1273,Protein of unknown function UPF0031,Coenzyme transport and metabolism,Q31NR6,1296812,1298347,+,,
SYNPCC7942_RS06525,Synpcc7942_1274,SE_1325,ycf37,TPR repeat-containing protein,SYNPCC7942_1274,TPR repeat,Function unknown,A0A0H3JZR0,1298630,1299157,-,,
SYNPCC7942_RS06530,Synpcc7942_1275,SE_1326,SE_1326,TIGR00341 family protein,SYNPCC7942_1275,conserved hypothetical protein,Function unknown,Q31NR4,1299187,1300350,-,,
SYNPCC7942_RS06535,Synpcc7942_1276,SE_1327,gtrC,"amino acid ABC transporter substrate-binding protein, PAAT family",SYNPCC7942_1276,"extracellular solute-binding protein, family 3",Amino acid transport and metabolism,A0A0H3K091,1300381,1301163,-,,
SYNPCC7942_RS06540,Synpcc7942_1277,SE_1328,rplT,LSU ribosomal protein L20P,rplT,50S ribosomal subunit protein L20,"Translation, ribosomal structure and biogenesis",Q31NR2,1301174,1301524,-,,
SYNPCC7942_RS06545,Synpcc7942_1278,SE_1329,rpmI,LSU ribosomal protein L35P,rpmI,50S ribosomal subunit protein L35,"Translation, ribosomal structure and biogenesis",Q31NR1,1301569,1301769,-,,
SYNPCC7942_RS06550,Synpcc7942_1279,SE_1330,SE_1330,hypothetical protein,SYNPCC7942_1279,hypothetical protein,No COG annotation,Q31NR0,1301796,1302047,-,,
SYNPCC7942_RS06555,Synpcc7942_1280,SE_1331,SE_1331,"Uncharacterized membrane protein YgaE, UPF0421/DUF939 family",SYNPCC7942_1280,conserved hypothetical protein,No COG annotation,Q31NQ9,1302044,1303138,-,,
SYNPCC7942_RS06560,Synpcc7942_1281,SE_1332,SE_1332,hypothetical protein,SYNPCC7942_1281,conserved hypothetical protein,Function unknown,Q31NQ8,1303144,1303836,-,,
SYNPCC7942_RS06565,Synpcc7942_1282,SE_1333,moaA,cyclic pyranopterin monophosphate synthase subunit MoaA,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme transport and metabolism,Q56211,1304480,1305463,-,,
SYNPCC7942_RS06570,Synpcc7942_1283,SE_1334,moaE,molybdopterin synthase subunit MoaE,moaE,molybdopterin synthase subunit 2,Coenzyme transport and metabolism,Q56210,1305460,1305957,-,,
SYNPCC7942_RS06575,Synpcc7942_1284,SE_1335,moaD,hypothetical protein,moaD,molybdopterin synthase subunit 1,No COG annotation,Q56209,1305960,1306232,-,,
SYNPCC7942_RS06580,Synpcc7942_1285,SE_1336,moaC,bifunctional molybdenum cofactor biosynthesis protein MoaC/MoaB,moaCB,molybdenum cofactor biosynthesis bifunctional protein BC,Coenzyme transport and metabolism,UPI00003A00F1,1306229,1307200,-,,
SYNPCC7942_RS06585,,SE_1337,moeA,molybdopterin molybdochelatase,SYNPCC7942_RS06585,SYNPCC7942_RS06585,Coenzyme transport and metabolism,Q56207,1307304,1308515,+,,
SYNPCC7942_RS06590,Synpcc7942_1287,SE_1338,SE_1338,VCBS repeat-containing protein,SYNPCC7942_1287,VCBS domain protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31NQ2,1309030,1310862,+,,
SYNPCC7942_RS06595,Synpcc7942_1288,SE_1339,SE_1339,Protein of unknown function (DUF4240),SYNPCC7942_1288,conserved hypothetical protein,Function unknown,Q31NQ1,1311028,1311534,+,,
SYNPCC7942_RS06600,Synpcc7942_1289,SE_1340,pmbA,PmbA protein,pmbA1,putative modulator of DNA gyrase,Function unknown,Q31NQ0,1311841,1313181,+,,
