locus_tag,old_locus_tag,marie_annot,marie_gene_name,marie_product,gene_name,cycbio_gene_product,old_gene_name,old_gene_product,COG,uniprot,operon,accession,start,stop,strand
SYNPCC7942_RS08460,Synpcc7942_1659,SE_1718,SE_1718,Nitroreductase,SYNPCC7942_1659,nitroreductase,SYNPCC7942_RS08460,NAD(P)H-dependent oxidoreductase,Energy production and conversion,A0A0H3K5Q9,Op1239,NC_007604.1,1729384,1730031,+
SYNPCC7942_RS08465,Synpcc7942_1660,SE_1719,SE_1719,potassium channel protein,kef,potassium-efflux system protein (K(+)/H(+) antiporter),SYNPCC7942_RS08465,ion transporter,"Translation, ribosomal structure and biogenesis",Q31MM9,Op1240,NC_007604.1,1730131,1730964,+
SYNPCC7942_RS08470,Synpcc7942_1661,SE_1720,digA,Circadian oscillating protein COP23,digA,Circadian oscillating protein COP23,SYNPCC7942_RS08470,hypothetical protein,Function unknown,A0A0H3KCU7,Op1241,NC_007604.1,1731159,1731722,+
SYNPCC7942_RS08475,Synpcc7942_1662,SE_1721,cysS,cysteinyl-tRNA synthetase,cysS,cysteinyl-tRNA synthetase,SYNPCC7942_RS08475,cysteine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q31MM7,Op1242,NC_007604.1,1731811,1733247,-
SYNPCC7942_RS13630,Synpcc7942_1663,SE_1722,SE_1722,hypothetical protein,SYNPCC7942_1663,conserved hypothetical protein,SYNPCC7942_RS13630,hypothetical protein,No COG annotation,UPI00003A022F,Op1243,NC_007604.1,1733401,1733667,-
SYNPCC7942_RS08485,Synpcc7942_1664,SE_1723,SE_1723,hypothetical protein,SYNPCC7942_1664,hypothetical protein,SYNPCC7942_RS08485,hypothetical protein,No COG annotation,Q31MM5,Op1244,NC_007604.1,1733790,1733984,+
SYNPCC7942_RS08490,Synpcc7942_1665,SE_1724,SE_1724,hypothetical protein,SYNPCC7942_1665,probable oxidoreductase,SYNPCC7942_RS08490,Gfo/Idh/MocA family oxidoreductase,Function unknown,Q31MM4,Op1244,NC_007604.1,1733989,1735104,+
SYNPCC7942_RS08495,Synpcc7942_1666,SE_1725,SE_1725,hypothetical protein,SYNPCC7942_1666,conserved hypothetical protein,SYNPCC7942_RS08495,neutral zinc metallopeptidase,Function unknown,A0A0H3K5Q4,Op1245,NC_007604.1,1735155,1735859,-
SYNPCC7942_RS08500,Synpcc7942_1667,SE_1726,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,SYNPCC7942_RS08500,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Cell wall/membrane/envelope biogenesis,Q31MM2,Op1246,NC_007604.1,1735965,1737356,+
SYNPCC7942_RS08505,Synpcc7942_1668,SE_1727,kdpA,K -transporting ATPase ATPase A chain,kdpA,"potassium-transporting ATPase, A subunit",kdpA,potassium-transporting ATPase subunit A,Inorganic ion transport and metabolism,A0A0H3K592,Op1247,NC_007604.1,1737882,1739552,+
SYNPCC7942_RS08510,Synpcc7942_1669,SE_1728,kdpB,K -transporting ATPase ATPase B chain,kdpB,"Potassium-translocating P-type ATPase, B subunit",kdpB,potassium-transporting ATPase subunit KdpB,Inorganic ion transport and metabolism,A0A0H3KCU2,Op1247,NC_007604.1,1739595,1741685,+
SYNPCC7942_RS13880,Synpcc7942_1670,SE_1729,SE_1729,"K -transporting ATPase, KdpF subunit",SYNPCC7942_RS13880,SYNPCC7942_RS13880,SYNPCC7942_RS13880,potassium-transporting ATPase subunit F,No COG annotation,UPI00005E289E,Op1248,NC_007604.1,1741687,1741833,+
SYNPCC7942_RS08515,Synpcc7942_1671,SE_1730,kdpC,K -transporting ATPase ATPase C chain,kdpC,"potassium-transporting ATPase, C subunit",kdpC,K(+)-transporting ATPase subunit C,Inorganic ion transport and metabolism,Q31ML8,Op1247,NC_007604.1,1741836,1742447,+
SYNPCC7942_RS08520,Synpcc7942_1672,SE_1731,vanY,D-Ala-D-Ala carboxypeptidase. Metallo peptidase.MEROPS family M15B,SYNPCC7942_1672,putative carboxypeptidase,SYNPCC7942_RS08520,D-alanyl-D-alanine carboxypeptidase family protein,Cell wall/membrane/envelope biogenesis,A0A0H3K9G2,Op1249,NC_007604.1,1742508,1743233,+
SYNPCC7942_RS08525,Synpcc7942_1673,SE_1732,SE_1732,Protein of unknown function (DUF2930),SYNPCC7942_1673,conserved hypothetical protein,SYNPCC7942_RS08525,cofactor assembly of complex C subunit B,Signal transduction mechanisms,A0A0H3K5P9,Op1250,NC_007604.1,1743189,1743854,-
SYNPCC7942_RS08530,Synpcc7942_1674,SE_1733,SE_1733,hypothetical protein,SYNPCC7942_1674,conserved hypothetical protein,SYNPCC7942_RS08530,hypothetical protein,No COG annotation,A0A0H3K588,Op1250,NC_007604.1,1743855,1744166,-
SYNPCC7942_RS08535,Synpcc7942_1675,SE_1734,SE_1734,2TM domain-containing protein,SYNPCC7942_1675,conserved hypothetical protein,SYNPCC7942_RS08535,2TM domain-containing protein,Function unknown,A0A0H3KCT7,Op1251,NC_007604.1,1744281,1744766,-
SYNPCC7942_RS08540,Synpcc7942_1676,SE_1735,SE_1735,hypothetical protein,SYNPCC7942_1676,conserved hypothetical protein,SYNPCC7942_RS08540,hypothetical protein,No COG annotation,A0A0H3K5W8,Op1252,NC_007604.1,1744816,1745469,-
SYNPCC7942_RS08545,Synpcc7942_1677,SE_1736,SE_1736,Glycine/D-amino acid oxidase (deaminating),SYNPCC7942_1677,conserved hypothetical protein,SYNPCC7942_RS08545,FAD-binding oxidoreductase,Amino acid transport and metabolism,A0A0H3K9F4,Op1252,NC_007604.1,1745500,1746597,-
SYNPCC7942_RS08550,Synpcc7942_1678,SE_1737,SE_1737,photosystem II protein PsbQ,SYNPCC7942_1678,conserved hypothetical protein,psbQ,photosystem II protein PsbQ,Function unknown,A0A0H3K5P3,Op1252,NC_007604.1,1746611,1747153,-
SYNPCC7942_RS08555,Synpcc7942_1679,SE_1738,psb28,photosystem II protein,psb28,photosystem II reaction center W protein,SYNPCC7942_RS08555,photosystem II reaction center protein Psb28,Function unknown,Q31ML0,Op1253,NC_007604.1,1747252,1747590,+
SYNPCC7942_RS08560,Synpcc7942_1680,SE_1739,cysA,sulfate transport system ATP-binding protein,cysA,sulfate transport system ATP-binding protein CysA,cysA,TOBE-like domain-containing protein,Inorganic ion transport and metabolism,UPI00005E289F,Op1254,NC_007604.1,1747842,1748858,-
SYNPCC7942_RS08565,Synpcc7942_1681,SE_1740,sbpA,sulfate transport system substrate-binding protein,sbpA,sulfate transport system sulfate-binding protein,SYNPCC7942_RS08565,sulfate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,P27366,Op1255,NC_007604.1,1749076,1750128,+
SYNPCC7942_RS08570,Synpcc7942_1682,SE_1741,cysT,sulfate transport system permease protein,cysT,sulfate transport system permease protein CysT,cysT,sulfate ABC transporter permease subunit CysT,Inorganic ion transport and metabolism,P27367,Op1255,NC_007604.1,1750203,1751039,+
SYNPCC7942_RS08575,Synpcc7942_1683,SE_1742,orf81,NIL domain-containing protein,SYNPCC7942_1683,conserved hypothetical protein,SYNPCC7942_RS08575,hypothetical protein,Inorganic ion transport and metabolism,P27368,Op1256,NC_007604.1,1751063,1751308,+
SYNPCC7942_RS08580,Synpcc7942_1684,SE_1743,cysR,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,cysR,transcriptional regulator CysR,SYNPCC7942_RS08580,Crp/Fnr family transcriptional regulator,Transcription,A0A0H3K5N9,Op1256,NC_007604.1,1751336,1751956,+
SYNPCC7942_RS08585,Synpcc7942_1685,SE_1744,cysW,sulfate transport system permease protein,cysW,sulfate transport system permease protein CysW,cysW,sulfate ABC transporter permease subunit CysW,Inorganic ion transport and metabolism,A0A0H3K582,Op1256,NC_007604.1,1752002,1752862,+
SYNPCC7942_RS08590,Synpcc7942_1686,SE_1745,sbpA,sulfate transport system substrate-binding protein,sbpB,thiosulfate-binding protein,SYNPCC7942_RS08590,sulfate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A0H3KCS8,Op1257,NC_007604.1,1753022,1754047,+
SYNPCC7942_RS08595,Synpcc7942_1687,SE_1746,cysT,sulfate transport system permease protein,cysU,"thiosulfate ABC transporter, permease protein CysU",cysT,sulfate ABC transporter permease subunit CysT,Inorganic ion transport and metabolism,Q31MK2,Op1257,NC_007604.1,1754047,1754913,+
SYNPCC7942_RS08600,Synpcc7942_1688,SE_1747,cysW,sulfate transport system permease protein,cysV,"thiosulfate ABC transporter, permease protein CysV",cysW,sulfate ABC transporter permease subunit CysW,Inorganic ion transport and metabolism,A0A0H3K9E0,Op1257,NC_007604.1,1754913,1755773,+
SYNPCC7942_RS08605,Synpcc7942_1689,SE_1748,rhdA,thiosulfate sulfurtransferase,rdhA,rhodanese-like,SYNPCC7942_RS08605,sulfurtransferase,Inorganic ion transport and metabolism,A0A0H3K5N1,Op1258,NC_007604.1,1755915,1756877,+
SYNPCC7942_RS14045,Synpcc7942_1690,SYNPCC7942_RS14045,SYNPCC7942_RS14045,SYNPCC7942_RS14045,SYNPCC7942_RS14045,SYNPCC7942_RS14045,SYNPCC7942_RS14045,hypothetical protein,No COG annotation,UPI000A58DA65,Op1259,NC_007604.1,1756976,1757137,+
SYNPCC7942_RS08610,Synpcc7942_1691,SE_1750,SE_1750,hypothetical protein,SYNPCC7942_1691,hypothetical protein,SYNPCC7942_RS08610,YeeE/YedE family protein,Function unknown,Q31MJ8,Op1258,NC_007604.1,1757155,1758315,+
SYNPCC7942_RS08615,Synpcc7942_1692,SE_1751,SE_1751,restriction system protein,mrr,mrr restriction system protein,SYNPCC7942_RS08615,restriction endonuclease,"Replication, recombination and repair",A0A0H3K5V5,Op1260,NC_007604.1,1758418,1759329,-
SYNPCC7942_RS08620,Synpcc7942_1693,SE_1752,divK,CheY chemotaxis protein or a CheY-like REC (receiver) domain,SYNPCC7942_1693,response regulator receiver domain protein (CheY-like),SYNPCC7942_RS08620,response regulator,Signal transduction mechanisms,A0A0H3K9D3,Op1261,NC_007604.1,1759418,1759819,-
SYNPCC7942_RS08625,Synpcc7942_1694,SE_1753,gyrA,DNA topoisomerase IV subunit A,parC,"DNA topoisomerase IV, subunit A",SYNPCC7942_RS08625,DNA topoisomerase 4 subunit A,"Replication, recombination and repair",Q31MJ5,Op1262,NC_007604.1,1759930,1762506,+
SYNPCC7942_RS08630,Synpcc7942_1695,SE_1754,SE_1754,Curli biogenesis system outer membrane secretionchannel CsgG,SYNPCC7942_1695,conserved hypothetical protein,SYNPCC7942_RS08630,CsgG/HfaB family protein,Cell wall/membrane/envelope biogenesis,Q31MJ4,Op1263,NC_007604.1,1762639,1763637,+
SYNPCC7942_RS08635,Synpcc7942_1696,SE_1755,SE_1755,pirin family protein,SYNPCC7942_1696,conserved hypothetical protein,SYNPCC7942_RS08635,pirin family protein,Function unknown,Q31MJ3,Op1264,NC_007604.1,1763712,1764452,-
SYNPCC7942_RS08640,Synpcc7942_1697,SE_1756,SE_1756,CDGSH iron-sulfur domain-containing protein,SYNPCC7942_1697,"Zn-finger, CDGSH type",SYNPCC7942_RS08640,CDGSH iron-sulfur domain-containing protein,Function unknown,A0A0H3K5V1,Op1265,NC_007604.1,1764611,1764892,-
SYNPCC7942_RS08645,Synpcc7942_1698,SE_1757,SE_1757,"transcriptional regulator, HxlR family",SYNPCC7942_1698,putative transcriptional regulator,SYNPCC7942_RS08645,helix-turn-helix transcriptional regulator,Transcription,A0A0H3K9C6,Op1266,NC_007604.1,1765087,1765428,+
SYNPCC7942_RS08650,Synpcc7942_1699,SE_1758,SE_1758,"multidrug resistance protein, MATE family",SYNPCC7942_1699,multidrug and toxic compound transporter,SYNPCC7942_RS08650,MATE family efflux transporter,Inorganic ion transport and metabolism,Q5MZD9,Op1267,NC_007604.1,1765464,1766858,-
SYNPCC7942_RS08655,Synpcc7942_1700,SE_1759,wcaG,GDP-L-fucose synthase,wcaG,GDP-fucose synthetase NAD dependent epimerase/dehydratase,SYNPCC7942_RS08655,GDP-L-fucose synthase,Carbohydrate transport and metabolism,A0A0H3K5M1,Op1268,NC_007604.1,1766905,1767849,-
SYNPCC7942_RS08660,Synpcc7942_1701,SE_1760,SE_1760,TIGR04376 family protein,SYNPCC7942_1701,conserved hypothetical protein,SYNPCC7942_RS08660,TIGR04376 family protein,Transcription,A0A0H3K572,Op1269,NC_007604.1,1767953,1768489,+
SYNPCC7942_RS14050,Synpcc7942_1702,SYNPCC7942_RS14050,SYNPCC7942_RS14050,SYNPCC7942_RS14050,SYNPCC7942_RS14050,SYNPCC7942_RS14050,SYNPCC7942_RS14050,hypothetical protein,No COG annotation,UPI00005E28A2,Op1270,NC_007604.1,1768545,1768682,+
SYNPCC7942_RS08670,Synpcc7942_1703,SE_1763,ams1,alpha-mannosidase,SYNPCC7942_RS08670,SYNPCC7942_RS08670,SYNPCC7942_RS08670,alpha-mannosidase,Carbohydrate transport and metabolism,UPI00003A024D,Op1271,NC_007604.1,1768940,1771987,-
SYNPCC7942_RS08675,Synpcc7942_1704,SE_1764,SE_1764,hypothetical protein,SYNPCC7942_1704,conserved hypothetical protein,SYNPCC7942_RS08675,hypothetical protein,No COG annotation,A0A0H3K5U6,Op1272,NC_007604.1,1772024,1772833,+
SYNPCC7942_RS13795,Synpcc7942_1705,SE_1765,psbI,hypothetical protein,SYNPCC7942_RS13795,SYNPCC7942_RS13795,SYNPCC7942_RS13795,photosystem II reaction center protein I,"Intracellular trafficking, secretion, and vesicular transport",P17747,Op1273,NC_007604.1,1772946,1773065,+
SYNPCC7942_RS08680,Synpcc7942_1706,SE_1766,SE_1766,Protein of unknown function (DUF3769),SYNPCC7942_1706,conserved hypothetical protein,SYNPCC7942_RS08680,DUF3769 domain-containing protein,Cell wall/membrane/envelope biogenesis,A0A0H3K9B8,Op1274,NC_007604.1,1773234,1775426,+
SYNPCC7942_RS08685,Synpcc7942_1707,SE_1767,ftn6,hypothetical protein,ftn6,cell division protein Ftn6,SYNPCC7942_RS08685,hypothetical protein,"Replication, recombination and repair",A0A0H3K5L5,Op1275,NC_007604.1,1775633,1776064,+
SYNPCC7942_RS08690,Synpcc7942_1708,SE_1768,prlC,oligopeptidase A Metallo peptidase. MEROPS family M03A,opdA,Oligopeptidase A,SYNPCC7942_RS08690,M3 family metallopeptidase,Amino acid transport and metabolism,Q31MI1,Op1276,NC_007604.1,1776199,1778226,+
SYNPCC7942_RS08695,Synpcc7942_1709,SE_1769,SE_1769,hypothetical protein,SYNPCC7942_1709,Small GTP-binding protein domain,SYNPCC7942_RS08695,DUF697 domain-containing protein,Function unknown,Q31MI0,Op1277,NC_007604.1,1778348,1779889,-
SYNPCC7942_RS08700,Synpcc7942_1710,SE_1770,rpoZ,DNA-directed RNA polymerase subunit omega,rpoZ,RNA polymerase subunit omega (rpoZ),SYNPCC7942_RS08700,DNA-directed RNA polymerase subunit omega,Transcription,Q31MH9,Op1278,NC_007604.1,1780048,1780278,+
SYNPCC7942_RS08705,Synpcc7942_1711,SE_1771,SE_1771,hypothetical protein,SYNPCC7942_1711,conserved hypothetical protein,SYNPCC7942_RS08705,hypothetical protein,No COG annotation,A0A0H3K5U3,Op1278,NC_007604.1,1780275,1780847,+
SYNPCC7942_RS08710,Synpcc7942_1712,SE_1772,SE_1772,protein of unknown function (DUF1818),SYNPCC7942_1712,conserved hypothetical protein,SYNPCC7942_RS08710,DUF1818 family protein,Function unknown,A0A0H3K9B1,Op1278,NC_007604.1,1780853,1781218,+
SYNPCC7942_RS08715,Synpcc7942_1713,SE_1773,mocD,Fatty acid desaturase,mocD,probable hydrocarbon oxygenase MocD,SYNPCC7942_RS08715,fatty acid desaturase family protein,Lipid transport and metabolism,Q31MH6,Op1279,NC_007604.1,1781317,1782219,+
SYNPCC7942_RS08720,Synpcc7942_1714,SE_1774,metX,homoserine O-acetyltransferase,metX,Homoserine O-acetyltransferase,SYNPCC7942_RS08720,alpha/beta fold hydrolase,Amino acid transport and metabolism,Q31MH5,Op1279,NC_007604.1,1782216,1783232,+
SYNPCC7942_RS08725,Synpcc7942_1715,SE_1775,upp,uracil phosphoribosyltransferase,upp,uracil phosphoribosyltransferase,SYNPCC7942_RS08725,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,Q31MH4,Op1280,NC_007604.1,1783250,1783903,-
SYNPCC7942_RS08730,Synpcc7942_1716,SE_1776,SE_1776,diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s),SYNPCC7942_RS08730,SYNPCC7942_RS08730,SYNPCC7942_RS08730,EAL domain-containing protein,Signal transduction mechanisms,Q31MH3,Op1280,NC_007604.1,1783939,1787655,-
SYNPCC7942_RS08735,Synpcc7942_1717,SE_1777,glcF,4Fe-4S dicluster domain-containing protein,glcF,glycolate oxidase subunit (Fe-S) protein,SYNPCC7942_RS08735,4Fe-4S dicluster domain-containing protein,Energy production and conversion,A0A0H3K5T8,Op1281,NC_007604.1,1787724,1789031,-
SYNPCC7942_RS08740,Synpcc7942_1718,SE_1778,glcE,glycolate oxidase FAD binding subunit,glcE,glycolate oxidase subunit GlcE,SYNPCC7942_RS08740,FAD-binding oxidoreductase,Energy production and conversion,UPI0002D9A550,Op1281,NC_007604.1,1789028,1790338,-
SYNPCC7942_RS08745,Synpcc7942_1719,SE_1779,icd,isocitrate dehydrogenase (NADP),icd,"isocitrate dehydrogenase, NADP-dependent",SYNPCC7942_RS08745,NADP-dependent isocitrate dehydrogenase,Energy production and conversion,Q31MH0,Op1282,NC_007604.1,1790369,1791796,-
SYNPCC7942_RS08750,Synpcc7942_1720,SE_1780,SE_1780,hypothetical protein,SYNPCC7942_1720,conserved hypothetical protein,SYNPCC7942_RS08750,hypothetical protein,No COG annotation,A0A0H3K560,Op1283,NC_007604.1,1791952,1792392,+
SYNPCC7942_RS08755,,SE_1781,SE_1781,hypothetical protein,SYNPCC7942_RS08755,SYNPCC7942_RS08755,SYNPCC7942_RS08755,hypothetical protein,No COG annotation,UPI00003A025F,Op1284,NC_007604.1,1792493,1792681,+
SYNPCC7942_RS08760,Synpcc7942_1721,SE_1782,SE_1782,HEAT repeat-containing protein,SYNPCC7942_1721,PBS lyase HEAT-like repeat,SYNPCC7942_RS08760,HEAT repeat domain-containing protein,Energy production and conversion,A0A0H3KCP7,Op1285,NC_007604.1,1793212,1793916,-
SYNPCC7942_RS08765,Synpcc7942_1722,SE_1783,sbpA,sulfate transport system substrate-binding protein,cysP,Thiosulphate-binding protein,SYNPCC7942_RS08765,sulfate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A0H3K5T4,Op1286,NC_007604.1,1794143,1795228,-
SYNPCC7942_RS08770,Synpcc7942_1723,SE_1784,SE_1784,Phytoene dehydrogenase-related protein,crtH,carotene isomerase,SYNPCC7942_RS08770,FAD-dependent oxidoreductase,"Secondary metabolites biosynthesis, transport, and catabolism",Q31MG6,Op1287,NC_007604.1,1795482,1797032,+
SYNPCC7942_RS08775,Synpcc7942_1724,SE_1785,SE_1785,hypothetical protein,SYNPCC7942_1724,conserved hypothetical protein,SYNPCC7942_RS08775,hypothetical protein,No COG annotation,A0A0H3K5K0,Op1288,NC_007604.1,1797078,1797386,-
SYNPCC7942_RS08780,Synpcc7942_1725,SE_1786,SE_1786,"transcriptional regulator, GntR family",gntR,"regulatory protein GntR, HTH",SYNPCC7942_RS08780,PLP-dependent aminotransferase family protein,Transcription,A0A0H3K557,Op61,NC_007604.1,1797616,1799067,+
SYNPCC7942_RS08785,Synpcc7942_1726,SE_1787,lspA,signal peptidase II Aspartic peptidase. MEROPS family A08,lspA,lipoprotein signal peptidase,SYNPCC7942_RS08785,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,A0A0H3KCP1,Op1289,NC_007604.1,1799119,1799610,-
SYNPCC7942_RS08790,Synpcc7942_1727,SE_1788,SE_1788,biotin transport system substrate-specific component,bioY,BioY protein,SYNPCC7942_RS08790,biotin transporter BioY,Function unknown,Q31MG2,Op1289,NC_007604.1,1799638,1800219,-
SYNPCC7942_RS08795,Synpcc7942_1728,SE_1789,SE_1789,hypothetical protein,SYNPCC7942_1728,conserved hypothetical protein,SYNPCC7942_RS08795,hypothetical protein,No COG annotation,Q31MG1,Op1290,NC_007604.1,1800372,1800887,+
SYNPCC7942_RS08800,Synpcc7942_1729,SE_1790,kdpD,"two-component system, OmpR family, sensor histidine kinase KdpD",SYNPCC7942_1729,potassium-transporting ATPase D chain,SYNPCC7942_RS08800,sensor histidine kinase,Signal transduction mechanisms,UPI000049B4B3,Op1290,NC_007604.1,1800848,1802005,+
SYNPCC7942_RS08805,Synpcc7942_1730,SE_1791,SE_1791,thioredoxin family protein,SYNPCC7942_1730,conserved hypothetical protein,SYNPCC7942_RS08805,thioredoxin family protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3K552,Op1291,NC_007604.1,1802053,1802640,+
SYNPCC7942_RS08810,Synpcc7942_1731,SE_1792,SE_1792,phosphoribosyltransferase,SYNPCC7942_1731,conserved hypothetical protein,SYNPCC7942_RS08810,phosphoribosyltransferase,Nucleotide transport and metabolism,A0A0H3KCN3,Op1292,NC_007604.1,1802686,1803171,-
SYNPCC7942_RS08815,Synpcc7942_1732,SE_1793,SE_1793,hypothetical protein,SYNPCC7942_1732,conserved hypothetical protein,SYNPCC7942_RS08815,hypothetical protein,No COG annotation,A0A0H3K5S5,Op1292,NC_007604.1,1803168,1803578,-
SYNPCC7942_RS08820,Synpcc7942_1733,SE_1794,sufR,transcriptional regulator,sufR,SufR transcriptional regulator,sufR,iron-sulfur cluster biosynthesis transcriptional regulator SufR,Transcription,A0A0H3K981,Op1292,NC_007604.1,1803575,1804219,-
SYNPCC7942_RS08825,Synpcc7942_1734,SE_1795,ftrC,ferredoxin-thioredoxin reductase catalytic chain,ftrC,ferredoxin-thioredoxin reductase catalytic subunit,SYNPCC7942_RS08825,ferredoxin--nitrite reductase,Energy production and conversion,A0A0H3K5I7,Op1293,NC_007604.1,1804395,1804757,+
SYNPCC7942_RS08830,Synpcc7942_1735,SE_1796,sufB,Iron-regulated ABC transporter membrane component SufB,sufB,Iron-regulated ABC transporter ATPase subunit SufB,sufB,Fe-S cluster assembly protein SufB,"Post-translational modification, protein turnover,and chaperones",A0A0H3K547,Op1294,NC_007604.1,1804805,1806244,+
SYNPCC7942_RS08835,Synpcc7942_1736,SE_1797,sufC,Iron-regulated ABC transporter ATPase subunit SufC,sufC,FeS assembly ATPase SufC,sufC,Fe-S cluster assembly ATPase SufC,"Post-translational modification, protein turnover,and chaperones",A0A0H3KCM7,Op1295,NC_007604.1,1806290,1807075,+
SYNPCC7942_RS08840,Synpcc7942_1737,SE_1798,sufD,Iron-regulated ABC transporter permease protein SufD,sufD,FeS assembly protein SufD,sufD,Fe-S cluster assembly protein SufD,"Post-translational modification, protein turnover,and chaperones",Q31MF2,Op1295,NC_007604.1,1807075,1808403,+
SYNPCC7942_RS08845,Synpcc7942_1738,SE_1799,sufS,cysteine desulfurase,sufS,"cysteine desulfurase, SufS subfamily",sufS,SufS family cysteine desulfurase,Amino acid transport and metabolism,A0A0H3K975,Op1295,NC_007604.1,1808413,1809672,+
SYNPCC7942_RS08850,Synpcc7942_1739,SE_1800,merR,"transcriptional regulator, MerR family",merR,"transcriptional regulator, MerR family",SYNPCC7942_RS08850,heavy metal-responsive transcriptional regulator,Transcription,UPI000F7F5D77,Op1296,NC_007604.1,1809681,1810142,+
SYNPCC7942_RS08855,Synpcc7942_1740,SE_1801,murB,UDP-N-acetylmuramate dehydrogenase,SYNPCC7942_1740,UDP-N-acetylenolpyruvoylglucosamine reductase,murB,UDP-N-acetylmuramate dehydrogenase,Cell wall/membrane/envelope biogenesis,P95837,Op1297,NC_007604.1,1810183,1811088,-
SYNPCC7942_RS08860,Synpcc7942_1741,SE_1802,murC,UDP-N-acetylmuramate--L-alanine ligase,SYNPCC7942_1741,UDP-N-acetylmuramate--alanine ligase,SYNPCC7942_RS08860,UDP-N-acetylmuramate--L-alanine ligase,Cell wall/membrane/envelope biogenesis,P95836,Op1297,NC_007604.1,1811099,1812535,-
SYNPCC7942_RS08865,Synpcc7942_1742,SE_1803,gap2,glyceraldehyde 3-phosphate dehydrogenase (NADP ),gap2,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase monomer,SYNPCC7942_RS08865,type I glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,Q9R6W2,Op1298,NC_007604.1,1812814,1813833,+
SYNPCC7942_RS08870,Synpcc7942_1743,SE_1804,ndhH,NADH dehydrogenase subunit D,ndhH,NADH dehydrogenase (ubiquinone),SYNPCC7942_RS08870,NAD(P)H-quinone oxidoreductase subunit H,Energy production and conversion,Q31ME6,Op1299,NC_007604.1,1814092,1815276,+
SYNPCC7942_RS08875,Synpcc7942_1744,SE_1805,SE_1805,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",SYNPCC7942_1744,"Downregulated by ppGpp, 1,4-dihydroxy-2-naphthoyl-CoA hydrolase",SYNPCC7942_RS08875,acyl-CoA thioesterase,Coenzyme transport and metabolism,Q31ME5,Op1300,NC_007604.1,1815423,1815833,+
SYNPCC7942_RS08880,Synpcc7942_1745,SE_1806,SE_1806,HPP family protein,SYNPCC7942_1745,conserved hypothetical protein,SYNPCC7942_RS08880,HPP family protein,Signal transduction mechanisms,Q31ME4,Op1301,NC_007604.1,1815848,1816393,-
SYNPCC7942_RS08885,Synpcc7942_1746,SE_1807,rpoD2,RNA polymerase nonessential primary-like sigma factor,rpoD2,sigma factor SigB,SYNPCC7942_RS08885,circadian expression RNA polymerase sigma factor SigA2,Transcription,Q31ME3,Op1302,NC_007604.1,1816600,1817562,-
SYNPCC7942_RS08890,Synpcc7942_1747,SE_1808,SE_1808,aldo/keto reductase,SYNPCC7942_1747,conserved hypothetical protein,SYNPCC7942_RS08890,aldo/keto reductase,Function unknown,A0A0H3K969,Op1303,NC_007604.1,1817778,1818962,-
SYNPCC7942_RS08895,Synpcc7942_1748,SE_1809,SE_1809,Methyltransferase domain-containing protein,SYNPCC7942_1748,conserved hypothetical protein,SYNPCC7942_RS08895,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Q31ME1,Op1303,NC_007604.1,1818990,1819751,-
SYNPCC7942_RS08900,Synpcc7942_1749,SE_1810,fer,ferredoxin,petF4,4Fe-4S ferredoxin,SYNPCC7942_RS08900,ferredoxin,Energy production and conversion,A0A0H3K541,Op1303,NC_007604.1,1819754,1820146,-
SYNPCC7942_RS08905,Synpcc7942_1750,SE_1811,ycf35,Protein of unknown function (DUF1257),SYNPCC7942_1750,conserved hypothetical protein YCF35,SYNPCC7942_RS08905,DUF1257 domain-containing protein,Function unknown,Q31MD9,Op1303,NC_007604.1,1820146,1820532,-
SYNPCC7942_RS08910,Synpcc7942_1751,SE_1812,SE_1812,Protein of unknown function (DUF2997),SYNPCC7942_1751,conserved hypothetical protein,SYNPCC7942_RS08910,DUF2997 domain-containing protein,Function unknown,A0A0H3K5R2,Op1304,NC_007604.1,1820575,1820778,-
SYNPCC7942_RS08915,Synpcc7942_1752,SE_1813,SE_1813,HEAT repeat,SYNPCC7942_1752,Armadillo:PBS lyase HEAT-like repeat,SYNPCC7942_RS08915,HEAT repeat domain-containing protein,Energy production and conversion,A0A0H3K961,Op1305,NC_007604.1,1821018,1821770,-
SYNPCC7942_RS08920,Synpcc7942_1753,SE_1814,SE_1814,Acetyltransferase (GNAT) family protein,SYNPCC7942_1753,conserved hypothetical protein,SYNPCC7942_RS08920,GNAT family N-acetyltransferase,Transcription,A0A0H3K5H3,Op1306,NC_007604.1,1821890,1822354,-
