locus_tag,old_locus_tag,gene_name,cycbio_gene_name,cycbio_gene_product,gene_product,COG,uniprot,start,end,strand
SYNPCC7942_RS05990,Synpcc7942_1168,larB,cpmA,circadian phase modifier CpmA,nickel pincer cofactor biosynthesis protein LarB,Function unknown,Q9WWQ0,1201327,1202109,-
SYNPCC7942_RS05995,Synpcc7942_1169,SYNPCC7942_RS05995,oppA,"oligopeptide ABC transporter, periplasmic oligopeptide-binding protein",ABC transporter substrate-binding protein,Amino acid transport and metabolism,UPI0012DDA309,1202102,1203871,-
SYNPCC7942_RS06000,Synpcc7942_1170,SYNPCC7942_RS06000,ispF,MECDP-synthase,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Lipid transport and metabolism,Q31P19,1203837,1204319,-
SYNPCC7942_RS06005,Synpcc7942_1171,SYNPCC7942_RS06005,SYNPCC7942_1171,conserved hypothetical protein,cryptochrome/photolyase family protein,Function unknown,Q31P18,1204598,1206109,-
SYNPCC7942_RS06010,Synpcc7942_1172,lnt,lnt,apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,UPI00003A00A4,1206148,1207596,-
SYNPCC7942_RS06015,Synpcc7942_1173,SYNPCC7942_RS06015,SYNPCC7942_1173,conserved hypothetical protein,TIGR04283 family arsenosugar biosynthesis glycosyltransferase,Function unknown,Q31P16,1207866,1209134,+
SYNPCC7942_RS13745,Synpcc7942_1174,SYNPCC7942_RS13745,SYNPCC7942_RS13745,SYNPCC7942_RS13745,photosystem II reaction center protein J,Function unknown,Q8KPP0,1209224,1209343,-
SYNPCC7942_RS06020,Synpcc7942_1175,SYNPCC7942_RS06020,psbL,PsbL,photosystem II reaction center protein L,"Intracellular trafficking, secretion, and vesicular transport",Q8KPP1,1209424,1209546,-
SYNPCC7942_RS06025,Synpcc7942_1176,SYNPCC7942_RS06025,psbF,PsbF,cytochrome b559 subunit beta,Energy production and conversion,Q5N555,1209559,1209693,-
SYNPCC7942_RS06030,Synpcc7942_1177,psbE,psbE,PsbE,cytochrome b559 subunit alpha,Energy production and conversion,Q5N556,1209715,1209966,-
SYNPCC7942_RS06035,Synpcc7942_1178,SYNPCC7942_RS06035,SYNPCC7942_1178,photosystem II stability and ssembly factor,photosynthesis system II assembly factor Ycf48,Function unknown,Q31P11,1210031,1211080,-
SYNPCC7942_RS06040,Synpcc7942_1179,SYNPCC7942_RS06040,rubR,rubredoxin,rubredoxin,Energy production and conversion,A0A0H3K002,1211113,1211529,-
SYNPCC7942_RS06045,Synpcc7942_1180,SYNPCC7942_RS06045,ndhC,NADH dehydrogenase subunit 3,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit C,Energy production and conversion,UPI000584A2EA,1211742,1212104,+
SYNPCC7942_RS06050,Synpcc7942_1181,SYNPCC7942_RS06050,ndhK,"NADH-quinone oxidoreductase, B subunit",NADH dehydrogenase subunit K,Energy production and conversion,Q31P08,1212095,1212802,+
SYNPCC7942_RS06055,Synpcc7942_1182,SYNPCC7942_RS06055,ndhJ,NADH dehydrogenase I subunit J,NAD(P)H-quinone oxidoreductase subunit J,Energy production and conversion,Q31P07,1212795,1213313,+
SYNPCC7942_RS06060,Synpcc7942_1183,SYNPCC7942_RS06060,SYNPCC7942_1183,conserved hypothetical protein,hypothetical protein,No COG annotation,UPI00003A00A9,1213471,1214214,+
SYNPCC7942_RS06065,Synpcc7942_1184,SYNPCC7942_RS06065,sscR1,6-pyruvoyl-tetrahydropterin synthase-like protein,6-carboxytetrahydropterin synthase,Coenzyme transport and metabolism,UPI00003A00AA,1214278,1215141,+
SYNPCC7942_RS06070,Synpcc7942_1185,SYNPCC7942_RS06070,SYNPCC7942_1185,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K343,1215373,1215648,+
SYNPCC7942_RS06075,Synpcc7942_1186,SYNPCC7942_RS06075,ribD2,putative riboflavin-specific deaminase,dihydrofolate reductase family protein,Coenzyme transport and metabolism,A0A0H3JZS0,1215652,1216350,+
SYNPCC7942_RS06080,Synpcc7942_1187,SYNPCC7942_RS06080,SYNPCC7942_1187,conserved hypothetical protein,N-acetyltransferase,Function unknown,Q31P02,1216357,1217532,+
SYNPCC7942_RS06085,Synpcc7942_1188,SYNPCC7942_RS06085,apa1,Ap-4-A phosphorylase II-like protein,DUF4346 domain-containing protein,Coenzyme transport and metabolism,A0A0H3K5W6,1217650,1218042,+
SYNPCC7942_RS06090,Synpcc7942_1189,SYNPCC7942_RS06090,mobA1,molybdopterin-guanine dinucleotide biosynthesis protein A,molybdenum cofactor guanylyltransferase,Coenzyme transport and metabolism,O06866,1218046,1218630,-
SYNPCC7942_RS06095,Synpcc7942_1190,SYNPCC7942_RS06095,pepA,Leucyl aminopeptidase,leucyl aminopeptidase,Amino acid transport and metabolism,O06865,1218720,1220180,-
SYNPCC7942_RS06100,Synpcc7942_1191,SYNPCC7942_RS06100,gmk,Guanylate kinase,guanylate kinase,Nucleotide transport and metabolism,Q8KPQ7,1220349,1220900,+
SYNPCC7942_RS06105,,SYNPCC7942_RS06105,SYNPCC7942_1192,conserved hypothetical protein,hypothetical protein,No COG annotation,,1221071,1221583,-
SYNPCC7942_RS06110,Synpcc7942_1193,SYNPCC7942_RS06110,plsC1,Phospholipid/glycerol acyltransferase,1-acyl-sn-glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,UPI00003A00B0,1221676,1222443,-
SYNPCC7942_RS06115,Synpcc7942_1194,SYNPCC7942_RS06115,pdxJ,pyridoxal phosphate biosynthetic protein PdxJ,pyridoxine 5'-phosphate synthase,Coenzyme transport and metabolism,Q3V812,1222773,1223495,+
SYNPCC7942_RS06120,,SYNPCC7942_RS06120,SYNPCC7942_RS06120,SYNPCC7942_RS06120,hypothetical protein,No COG annotation,UPI0012DE70E5,1223718,1224221,+
SYNPCC7942_RS06125,Synpcc7942_1196,SYNPCC7942_RS06125,sipA,SipA regulatory factor,DUF3148 domain-containing protein,Function unknown,A0A0H3JZZ2,1224298,1224534,+
SYNPCC7942_RS06130,Synpcc7942_1197,trpC,trpC,Indole-3-glycerol-phosphate synthase,indole-3-glycerol phosphate synthase TrpC,Amino acid transport and metabolism,Q5N575,1224841,1225728,-
SYNPCC7942_RS06135,Synpcc7942_1198,lpdA,pdhD,pyruvate dehydrogenase complex E3 component momomer,dihydrolipoyl dehydrogenase,Energy production and conversion,Q31NZ1,1225805,1227244,-
SYNPCC7942_RS06140,Synpcc7942_1199,SYNPCC7942_RS06140,SYNPCC7942_1199,probable tRNA/rRNA methyltransferase,RNA methyltransferase,"Translation, ribosomal structure and biogenesis",A0A0H3K0H5,1227303,1228079,-
SYNPCC7942_RS06145,Synpcc7942_1200,SYNPCC7942_RS06145,SYNPCC7942_1200,conserved hypothetical protein,flippase-like domain-containing protein,Function unknown,UPI0012DF8943,1228048,1228968,-
SYNPCC7942_RS06150,Synpcc7942_1201,SYNPCC7942_RS06150,SYNPCC7942_1201,probable glycosyltransferase,glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q8KPR8,1229078,1230508,-
SYNPCC7942_RS06155,Synpcc7942_1202,SYNPCC7942_RS06155,SYNPCC7942_1202,conserved hypothetical protein,glycosyltransferase family 39 protein,Cell wall/membrane/envelope biogenesis,Q31NY7,1230512,1232980,-
SYNPCC7942_RS06160,Synpcc7942_1203,SYNPCC7942_RS06160,SYNPCC7942_1203,conserved hypothetical protein,type II toxin-antitoxin system VapC family toxin,Function unknown,A0A0H3K5V4,1233050,1233463,-
SYNPCC7942_RS06165,Synpcc7942_1204,SYNPCC7942_RS06165,phd1,Prevent-host-death protein,type II toxin-antitoxin system Phd/YefM family antitoxin,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K0H0,1233460,1233774,-
SYNPCC7942_RS06170,Synpcc7942_1205,SYNPCC7942_RS06170,SYNPCC7942_1205,phage_integrase-like,tyrosine-type recombinase/integrase,"Replication, recombination and repair",A0A0H3K323,1233775,1233939,+
SYNPCC7942_RS06175,Synpcc7942_1206,SYNPCC7942_RS06175,SYNPCC7942_1206,conserved hypothetical protein,DUF2281 domain-containing protein,Function unknown,A0A0H3JZQ0,1233936,1234211,+
SYNPCC7942_RS06180,Synpcc7942_1207,SYNPCC7942_RS06180,yoeB,"Addiction module toxin, Txe and YoeB",Txe/YoeB family addiction module toxin,Function unknown,A0A0H3JZX6,1234338,1234601,-
SYNPCC7942_RS06185,Synpcc7942_1208,SYNPCC7942_RS06185,phd2,Prevent-host-death protein,type II toxin-antitoxin system prevent-host-death family antitoxin,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K5U7,1234594,1234848,-
SYNPCC7942_RS06190,Synpcc7942_1209,SYNPCC7942_RS06190,SYNPCC7942_1209,conserved hypothetical protein,DUF2442 domain-containing protein,Function unknown,A0A0H3K0G3,1234970,1235230,-
SYNPCC7942_RS06195,Synpcc7942_1210,SYNPCC7942_RS06195,SYNPCC7942_1210,conserved hypothetical protein,DUF4160 domain-containing protein,Function unknown,Q79PE8,1235233,1235481,-
SYNPCC7942_RS06200,Synpcc7942_1211,SYNPCC7942_RS06200,mobA2,molybdopterin-guanine dinucleotide synthase,DUF2442 domain-containing protein,Function unknown,A0A0H3JZP3,1235481,1235825,-
SYNPCC7942_RS06205,Synpcc7942_1212,SYNPCC7942_RS06205,SYNPCC7942_1212,conserved hypothetical protein,DUF4160 domain-containing protein,Function unknown,A0A0H3JZX0,1235830,1236090,-
SYNPCC7942_RS06210,,SYNPCC7942_RS06210,SYNPCC7942_RS06210,SYNPCC7942_RS06210,hypothetical protein,No COG annotation,UPI00003A00BC,1236242,1236466,+
SYNPCC7942_RS06215,Synpcc7942_1213,SYNPCC7942_RS06215,VapC,virulence associated protein C,type II toxin-antitoxin system VapC family toxin,Function unknown,Q79PF1,1236470,1236886,+
SYNPCC7942_RS06220,Synpcc7942_1214,SYNPCC7942_RS06220,gpx1,Glutathione peroxidase,glutathione peroxidase,Energy production and conversion,A0A0H3K0F6,1237017,1237520,+
SYNPCC7942_RS06225,Synpcc7942_1215,SYNPCC7942_RS06225,SYNPCC7942_1215,acyl-CoA dehydrogenase family protein-like,acyl-CoA dehydrogenase family protein,Lipid transport and metabolism,Q79PF3,1237546,1238553,+
SYNPCC7942_RS06230,Synpcc7942_1216,kaiC,kaiC,KaiC-P KaiC circadian clock protein,circadian clock protein KaiC,Nucleotide transport and metabolism,A0A0H3JZN7,1238550,1240109,-
SYNPCC7942_RS06235,Synpcc7942_1217,kaiB,kaiB,KaiB monomer,circadian clock protein KaiB,Transcription,Q5N595,1240159,1240467,-
SYNPCC7942_RS06240,Synpcc7942_1218,SYNPCC7942_RS06240,kaiA,KaiA monomer,circadian clock protein KaiA,Function unknown,Q79PF6,1240557,1241411,-
SYNPCC7942_RS06245,Synpcc7942_1219,rplU,rplU,50S ribosomal subunit protein L21,50S ribosomal protein L21,"Translation, ribosomal structure and biogenesis",Q9Z3H5,1241649,1242032,+
SYNPCC7942_RS06250,Synpcc7942_1220,rpmA,rpmA,50S ribosomal subunit protein L27,50S ribosomal protein L27,"Translation, ribosomal structure and biogenesis",Q5N598,1242067,1242333,+
SYNPCC7942_RS06255,Synpcc7942_1221,SYNPCC7942_RS06255,SYNPCC7942_1221,response regulator receiver domain protein (CheY-like),response regulator,Signal transduction mechanisms,Q79PF9,1242455,1242832,-
SYNPCC7942_RS06260,Synpcc7942_1222,truB,truB,tRNA pseudouridine synthase B,tRNA pseudouridine(55) synthase TruB,"Translation, ribosomal structure and biogenesis",Q5N5A0,1242925,1243809,+
SYNPCC7942_RS06265,Synpcc7942_1223,SYNPCC7942_RS06265,devC,"glycolipid ABC exporter, membrane spanning subunit",FtsX-like permease family protein,Defense mechanisms,Q8KPS7,1243830,1245008,-
SYNPCC7942_RS06270,Synpcc7942_1224,SYNPCC7942_RS06270,devB,ABC-transporter membrane fusion protein,HlyD family efflux transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,A0A0H3K306,1244992,1246092,-
SYNPCC7942_RS06275,Synpcc7942_1225,SYNPCC7942_RS06275,pcyA,phycocyanobilin:ferredoxin oxidoreductase,phycocyanobilin:ferredoxin oxidoreductase,Energy production and conversion,Q8KPS9,1246181,1246927,-
SYNPCC7942_RS06280,Synpcc7942_1226,SYNPCC7942_RS06280,SYNPCC7942_1226,processing protease,insulinase family protein,Function unknown,Q31NW3,1247104,1248369,+
SYNPCC7942_RS06290,Synpcc7942_1227,radC,radC,DNA repair protein RadC,DNA repair protein RadC,Amino acid transport and metabolism,A0A0H3JZV9,1248593,1249327,-
SYNPCC7942_RS06295,Synpcc7942_1228,SYNPCC7942_RS06295,SYNPCC7942_1228,conserved hypothetical protein,EamA family transporter,Amino acid transport and metabolism,Q31NW1,1249355,1250224,+
SYNPCC7942_RS06300,Synpcc7942_1229,cobM,cobM,precorrin-4 C11-methyltransferase,precorrin-4 C(11)-methyltransferase,Coenzyme transport and metabolism,A0A0H3K0E1,1250193,1251023,-
SYNPCC7942_RS06305,Synpcc7942_1230,SYNPCC7942_RS06305,lgt,prolipoprotein diacylglyceryl transferase,prolipoprotein diacylglyceryl transferase,Cell wall/membrane/envelope biogenesis,Q31NV9,1250977,1251846,-
SYNPCC7942_RS06310,Synpcc7942_1231,SYNPCC7942_RS06310,petA,PetA,apocytochrome f,Energy production and conversion,Q31NV8,1251930,1252904,-
SYNPCC7942_RS06315,Synpcc7942_1232,SYNPCC7942_RS06315,petC,PetC,cytochrome b6-f complex iron-sulfur subunit,Energy production and conversion,Q31NV7,1252950,1253489,-
SYNPCC7942_RS06320,Synpcc7942_1233,SYNPCC7942_RS06320,SYNPCC7942_1233,conserved hypothetical protein,two pore domain potassium channel family protein,Inorganic ion transport and metabolism,A0A0H3K301,1253790,1254473,-
SYNPCC7942_RS06325,Synpcc7942_1234,SYNPCC7942_RS06325,SYNPCC7942_1234,conserved hypothetical protein,isoprenylcysteine carboxylmethyltransferase family protein,"Post-translational modification, protein turnover,and chaperones",Q31NV5,1254739,1255242,+
SYNPCC7942_RS06330,Synpcc7942_1235,SYNPCC7942_RS06330,narB,ferredoxin-nitrate reductase,nitrate reductase catalytic subunit,Energy production and conversion,P39458,1255757,1257946,-
SYNPCC7942_RS06335,Synpcc7942_1236,SYNPCC7942_RS06335,nrtD,nitrate transport ATP-binding subunit D,ATP-binding cassette domain-containing protein,Inorganic ion transport and metabolism,A0A0H3K5S3,1258144,1258968,-
SYNPCC7942_RS06340,Synpcc7942_1237,SYNPCC7942_RS06340,nrtC,nitrate transport ATP-binding subunit C,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A0H3K0D6,1258978,1260957,-
SYNPCC7942_RS06345,Synpcc7942_1238,ntrB,nrtB,nitrate transport permease,nitrate ABC transporter permease,Inorganic ion transport and metabolism,A0A0H3K2Z5,1260972,1261811,-
SYNPCC7942_RS06350,Synpcc7942_1239,SYNPCC7942_RS06350,nrtA,NrtA,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A0H3JZL5,1261868,1263199,-
SYNPCC7942_RS06355,Synpcc7942_1240,SYNPCC7942_RS06355,nirA,ferredoxin--nitrite reductase,ferredoxin--nitrite reductase,Energy production and conversion,A0A0H3JZV0,1263263,1264801,-
SYNPCC7942_RS06360,Synpcc7942_1241,SYNPCC7942_RS06360,nirB,nitrite reductase related protein,HEAT repeat domain-containing protein,Energy production and conversion,A0A0H3K5R8,1265088,1266137,+
SYNPCC7942_RS06365,Synpcc7942_1242,SYNPCC7942_RS06365,ntcB,nitrate assimilation transcriptional activator,LysR family transcriptional regulator,Transcription,A0A0H3K0D0,1266128,1267057,+
SYNPCC7942_RS14005,,SYNPCC7942_RS14005,SYNPCC7942_RS14005,SYNPCC7942_RS14005,hypothetical protein,No COG annotation,UPI0012DC1862,1267114,1267269,-
SYNPCC7942_RS06370,Synpcc7942_1243,SYNPCC7942_RS06370,SYNPCC7942_1243,cyclic nucleotide-binding domain (cNMP-BD) protein,Crp/Fnr family transcriptional regulator,Transcription,A0A0H3K2Y9,1267422,1268117,-
SYNPCC7942_RS06375,Synpcc7942_1244,SYNPCC7942_RS06375,SYNPCC7942_1244,ATPase,Wzt carbohydrate-binding domain-containing protein,Carbohydrate transport and metabolism,UPI0012DFE1FD,1268347,1269663,+
SYNPCC7942_RS06380,Synpcc7942_1245,SYNPCC7942_RS06380,SYNPCC7942_1245,conserved hypothetical protein,AAA-associated domain-containing protein,Inorganic ion transport and metabolism,Q31NU4,1270001,1270345,+
SYNPCC7942_RS06385,Synpcc7942_1246,crtH,crtiso,carotene isomerase,carotene isomerase,"Secondary metabolites biosynthesis, transport, and catabolism",Q31NU3,1270803,1272317,+
SYNPCC7942_RS06390,Synpcc7942_1247,SYNPCC7942_RS06390,SYNPCC7942_1247,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K0C3,1272322,1272561,+
SYNPCC7942_RS06395,Synpcc7942_1248,SYNPCC7942_RS06395,SYNPCC7942_1248,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31NU1,1272551,1273123,+
SYNPCC7942_RS06400,Synpcc7942_1249,SYNPCC7942_RS06400,psaJ,PsaJ,photosystem I reaction center subunit IX,Function unknown,UPI000049BBD6,1273621,1273755,-
SYNPCC7942_RS06405,Synpcc7942_1250,SYNPCC7942_RS06405,psaF,PsaF,photosystem I reaction center subunit III,Function unknown,P31083,1273781,1274260,-
SYNPCC7942_RS06410,Synpcc7942_1251,tsaD,SYNPCC7942_1251,"metalloendopeptidase, putative, glycoprotease family",tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,"Translation, ribosomal structure and biogenesis",A0A0H3JZK5,1274438,1275487,+
SYNPCC7942_RS06415,Synpcc7942_1252,SYNPCC7942_RS06415,SYNPCC7942_1252,DNA repair protein RAD32-like,metallophosphoesterase,"Replication, recombination and repair",Q31NT7,1275556,1276833,+
SYNPCC7942_RS06420,Synpcc7942_1253,SYNPCC7942_RS06420,SYNPCC7942_1253,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31NT6,1276940,1277221,-
SYNPCC7942_RS06425,Synpcc7942_1254,SYNPCC7942_RS06425,SYNPCC7942_1254,cyclic nucleotide-binding domain (cNMP-BD) protein,cyclic nucleotide-binding domain-containing protein,Signal transduction mechanisms,UPI000049BF23,1277460,1277855,+
SYNPCC7942_RS06430,Synpcc7942_1255,SYNPCC7942_RS06430,csdB,L-cysteine/cystine lyase,aminotransferase class V-fold PLP-dependent enzyme,Amino acid transport and metabolism,A0A0H3K0B6,1277852,1279015,-
SYNPCC7942_RS06435,Synpcc7942_1256,SYNPCC7942_RS06435,gst2,glutathione S-transferase,glutathione S-transferase family protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3K2X6,1279079,1279633,+
SYNPCC7942_RS06440,Synpcc7942_1257,SYNPCC7942_RS06440,SYNPCC7942_1257,chloride channel-like,chloride channel protein,Inorganic ion transport and metabolism,Q31NT2,1279685,1281532,+
SYNPCC7942_RS06445,Synpcc7942_1258,SYNPCC7942_RS06445,SYNPCC7942_1258,conserved hypothetical protein,DUF2358 domain-containing protein,Function unknown,Q31NT1,1281532,1281945,+
SYNPCC7942_RS06450,Synpcc7942_1259,SYNPCC7942_RS06450,arsA,arsenite-activated ATPase (arsA),TRC40/GET3/ArsA family transport-energizing ATPase,Inorganic ion transport and metabolism,Q31NT0,1281993,1283171,+
SYNPCC7942_RS06455,Synpcc7942_1260,SYNPCC7942_RS06455,SYNPCC7942_1260,conserved hypothetical protein,M48 family metalloprotease,Function unknown,Q31NS9,1283244,1284071,+
SYNPCC7942_RS06460,Synpcc7942_1261,SYNPCC7942_RS06460,tpiA,triosephosphate isomerase,triose-phosphate isomerase,Nucleotide transport and metabolism,UPI0005862AAE,1284223,1284951,-
SYNPCC7942_RS06465,Synpcc7942_1262,SYNPCC7942_RS06465,SYNPCC7942_1262,uncharacterized FAD-dependent dehydrogenase,NAD(P)/FAD-dependent oxidoreductase,Function unknown,A0A0H3JZJ5,1285028,1286647,-
SYNPCC7942_RS06470,Synpcc7942_1263,SYNPCC7942_RS06470,SYNPCC7942_1263,N6-adenine-specific DNA methylase-like,RNA methyltransferase,"Replication, recombination and repair",Q31NS6,1286711,1287835,-
SYNPCC7942_RS06475,Synpcc7942_1264,SYNPCC7942_RS06475,SYNPCC7942_1264,Na+ and H+ antiporter,sodium:proton antiporter,Inorganic ion transport and metabolism,UPI0009D7433C,1288008,1289582,+
SYNPCC7942_RS06480,Synpcc7942_1265,SYNPCC7942_RS06480,SYNPCC7942_1265,conserved hypothetical protein,TrkA family potassium uptake protein,Inorganic ion transport and metabolism,Q31NS4,1289545,1290258,-
SYNPCC7942_RS06485,Synpcc7942_1266,rdgB,SYNPCC7942_1266,Ham1-like protein,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,Nucleotide transport and metabolism,Q31NS3,1290360,1290953,-
SYNPCC7942_RS06490,Synpcc7942_1267,SYNPCC7942_RS06490,SYNPCC7942_1267,conserved hypothetical protein,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31NS2,1290950,1291729,-
SYNPCC7942_RS06495,Synpcc7942_1268,SYNPCC7942_RS06495,pgm2,Phosphoglucomutase,phosphoglucomutase/phosphomannomutase family protein,Carbohydrate transport and metabolism,A0A0H3JZR7,1291777,1293231,-
SYNPCC7942_RS06500,Synpcc7942_1269,mgtE,mgtE,magnesium transporter,magnesium transporter,Inorganic ion transport and metabolism,Q31NS0,1293542,1294939,+
SYNPCC7942_RS06505,,SYNPCC7942_RS06505,SYNPCC7942_RS06505,SYNPCC7942_RS06505,hypothetical protein,Function unknown,UPI00003A00E5,1295219,1295425,+
SYNPCC7942_RS06510,Synpcc7942_1271,SYNPCC7942_RS06510,SYNPCC7942_1271,conserved hypothetical protein,hypothetical protein,Cell wall/membrane/envelope biogenesis,A0A0H3K098,1295438,1296175,-
SYNPCC7942_RS06515,Synpcc7942_1272,SYNPCC7942_RS06515,SYNPCC7942_1272,conserved hypothetical protein,SRPBCC family protein,Function unknown,Q31NR7,1296234,1296761,-
SYNPCC7942_RS06520,Synpcc7942_1273,SYNPCC7942_RS06520,SYNPCC7942_1273,Protein of unknown function UPF0031,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,Coenzyme transport and metabolism,Q31NR6,1296812,1298347,+
SYNPCC7942_RS06525,Synpcc7942_1274,SYNPCC7942_RS06525,SYNPCC7942_1274,TPR repeat,tetratricopeptide repeat protein,Function unknown,A0A0H3JZR0,1298630,1299157,-
SYNPCC7942_RS06530,Synpcc7942_1275,SYNPCC7942_RS06530,SYNPCC7942_1275,conserved hypothetical protein,DUF389 domain-containing protein,Function unknown,Q31NR4,1299187,1300350,-
SYNPCC7942_RS06535,Synpcc7942_1276,SYNPCC7942_RS06535,SYNPCC7942_1276,"extracellular solute-binding protein, family 3",transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,A0A0H3K091,1300381,1301163,-
SYNPCC7942_RS06540,Synpcc7942_1277,rplT,rplT,50S ribosomal subunit protein L20,50S ribosomal protein L20,"Translation, ribosomal structure and biogenesis",Q31NR2,1301174,1301524,-
SYNPCC7942_RS06545,Synpcc7942_1278,rpmI,rpmI,50S ribosomal subunit protein L35,50S ribosomal protein L35,"Translation, ribosomal structure and biogenesis",Q31NR1,1301569,1301769,-
SYNPCC7942_RS06550,Synpcc7942_1279,SYNPCC7942_RS06550,SYNPCC7942_1279,hypothetical protein,hypothetical protein,No COG annotation,Q31NR0,1301796,1302047,-
SYNPCC7942_RS06555,Synpcc7942_1280,SYNPCC7942_RS06555,SYNPCC7942_1280,conserved hypothetical protein,FUSC family protein,No COG annotation,Q31NQ9,1302044,1303138,-
SYNPCC7942_RS06560,Synpcc7942_1281,SYNPCC7942_RS06560,SYNPCC7942_1281,conserved hypothetical protein,hypothetical protein,Function unknown,Q31NQ8,1303144,1303836,-
SYNPCC7942_RS06565,Synpcc7942_1282,moaA,moaA,molybdenum cofactor biosynthesis protein A,GTP 3'%2C8-cyclase MoaA,Coenzyme transport and metabolism,Q56211,1304480,1305463,-
SYNPCC7942_RS06570,Synpcc7942_1283,SYNPCC7942_RS06570,moaE,molybdopterin synthase subunit 2,molybdenum cofactor biosynthesis protein MoaE,Coenzyme transport and metabolism,Q56210,1305460,1305957,-
SYNPCC7942_RS06575,Synpcc7942_1284,moaD,moaD,molybdopterin synthase subunit 1,molybdopterin synthase sulfur carrier subunit MoaD,No COG annotation,Q56209,1305960,1306232,-
SYNPCC7942_RS06580,Synpcc7942_1285,SYNPCC7942_RS06580,moaCB,molybdenum cofactor biosynthesis bifunctional protein BC,bifunctional molybdenum cofactor biosynthesis protein MoaC/MoaB,Coenzyme transport and metabolism,UPI00003A00F1,1306229,1307200,-
SYNPCC7942_RS06585,,SYNPCC7942_RS06585,SYNPCC7942_RS06585,SYNPCC7942_RS06585,molybdopterin molybdotransferase MoeA,Coenzyme transport and metabolism,Q56207,1307304,1308515,+
SYNPCC7942_RS06590,Synpcc7942_1287,SYNPCC7942_RS06590,SYNPCC7942_1287,VCBS domain protein,S-layer protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31NQ2,1309030,1310862,+
SYNPCC7942_RS06595,Synpcc7942_1288,SYNPCC7942_RS06595,SYNPCC7942_1288,conserved hypothetical protein,DUF4240 domain-containing protein,Function unknown,Q31NQ1,1311028,1311534,+
SYNPCC7942_RS06600,Synpcc7942_1289,SYNPCC7942_RS06600,pmbA1,putative modulator of DNA gyrase,TldD/PmbA family protein,Function unknown,Q31NQ0,1311841,1313181,+
SYNPCC7942_RS13750,Synpcc7942_1290,SYNPCC7942_RS13750,SYNPCC7942_RS13750,SYNPCC7942_RS13750,metallothionein,Function unknown,P30331,1313290,1313460,-
SYNPCC7942_RS06605,Synpcc7942_1291,smtB,smtB,transcriptional repressor,Zn(II)-sensing metalloregulatory transcriptional repressor SmtB,Transcription,A0A0H3K2U0,1313561,1313929,+
SYNPCC7942_RS06610,Synpcc7942_1292,SYNPCC7942_RS06610,dnaG,DNA primase,DNA primase,"Replication, recombination and repair",P74893,1313939,1316023,-
SYNPCC7942_RS06615,Synpcc7942_1293,SYNPCC7942_RS06615,pheT,"phenylalanyl-tRNA synthetase, beta subunit",phenylalanine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",P74764,1316166,1318598,-
SYNPCC7942_RS06620,Synpcc7942_1294,SYNPCC7942_RS06620,SYNPCC7942_1294,serine/threonine protein kinase,pentapeptide repeat-containing protein,Transcription,Q31NP5,1318734,1320302,+
SYNPCC7942_RS06625,Synpcc7942_1295,SYNPCC7942_RS06625,plsC2,Phospholipid/glycerol acyltransferase,1-acyl-sn-glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,Q31NP4,1320370,1321758,-
SYNPCC7942_RS06630,Synpcc7942_1296,SYNPCC7942_RS06630,SYNPCC7942_1296,conserved hypothetical protein,2OG-Fe(II) oxygenase family protein,Function unknown,A0A0H3K076,1321898,1322593,+
SYNPCC7942_RS06635,Synpcc7942_1297,SYNPCC7942_RS06635,maeA,Malate dehydrogenase (oxaloacetate decarboxylating),NADP-dependent malic enzyme,Energy production and conversion,A0A0H3K2T5,1322910,1324319,+
SYNPCC7942_RS06640,Synpcc7942_1298,SYNPCC7942_RS06640,SYNPCC7942_1298,diguanylate cyclase (GGDEF domain),diguanylate cyclase,Signal transduction mechanisms,Q31NP1,1325107,1326837,+
SYNPCC7942_RS06645,Synpcc7942_1299,SYNPCC7942_RS06645,SYNPCC7942_1299,conserved hypothetical protein,DUF362 domain-containing protein,Function unknown,A0A0H3JZN2,1326892,1327854,-
