locus_tag,gene_name,start,end,strand,gene_product,uniprot,COG,KEGG_ko
SYNPCC7942_RS06415,SYNPCC7942_RS06415,1275556,1276833,+,DNA repair protein,Q31NT7,L,K03547
SYNPCC7942_RS06420,SYNPCC7942_RS06420,1276940,1277221,-,hypothetical protein,Q31NT6,X,
SYNPCC7942_RS06425,SYNPCC7942_RS06425,1277460,1277855,+,cyclic nucleotide-binding domain-containing protein,UPI000049BF23,T,
SYNPCC7942_RS06430,SYNPCC7942_RS06430,1277852,1279015,-,aminotransferase class V-fold PLP-dependent enzyme,A0A0H3K0B6,E,"K04127,ko:K11325"
SYNPCC7942_RS06435,SYNPCC7942_RS06435,1279079,1279633,+,glutathione S-transferase family protein,A0A0H3K2X6,O,K00799
SYNPCC7942_RS06440,SYNPCC7942_RS06440,1279685,1281532,+,chloride channel protein,Q31NT2,P,
SYNPCC7942_RS06445,SYNPCC7942_RS06445,1281532,1281945,+,DUF2358 domain-containing protein,Q31NT1,S,
SYNPCC7942_RS06450,SYNPCC7942_RS06450,1281993,1283171,+,TRC40/GET3/ArsA family transport-energizing ATPase,Q31NT0,P,K01551
SYNPCC7942_RS06455,SYNPCC7942_RS06455,1283244,1284071,+,M48 family metalloprotease,Q31NS9,S,
SYNPCC7942_RS06460,SYNPCC7942_RS06460,1284223,1284951,-,triose-phosphate isomerase,UPI0005862AAE,F,K01803
SYNPCC7942_RS06465,SYNPCC7942_RS06465,1285028,1286647,-,NAD(P)/FAD-dependent oxidoreductase,A0A0H3JZJ5,S,K07137
SYNPCC7942_RS06470,SYNPCC7942_RS06470,1286711,1287835,-,RNA methyltransferase,Q31NS6,L,K07444
SYNPCC7942_RS06475,SYNPCC7942_RS06475,1288008,1289582,+,sodium:proton antiporter,UPI0009D7433C,P,K03316
SYNPCC7942_RS06480,SYNPCC7942_RS06480,1289545,1290258,-,TrkA family potassium uptake protein,Q31NS4,P,K03499
SYNPCC7942_RS06485,rdgB,1290360,1290953,-,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,Q31NS3,F,K02428
SYNPCC7942_RS06490,SYNPCC7942_RS06490,1290950,1291729,-,hypothetical protein,Q31NS2,M,
SYNPCC7942_RS06495,SYNPCC7942_RS06495,1291777,1293231,-,phosphoglucomutase/phosphomannomutase family protein,A0A0H3JZR7,G,
SYNPCC7942_RS06500,mgtE,1293542,1294939,+,magnesium transporter,Q31NS0,P,K06213
SYNPCC7942_RS06505,SYNPCC7942_RS06505,1295219,1295425,+,hypothetical protein,UPI00003A00E5,S,
SYNPCC7942_RS06510,SYNPCC7942_RS06510,1295438,1296175,-,hypothetical protein,A0A0H3K098,M,
SYNPCC7942_RS06515,SYNPCC7942_RS06515,1296234,1296761,-,SRPBCC family protein,Q31NR7,S,
SYNPCC7942_RS06520,SYNPCC7942_RS06520,1296812,1298347,+,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,Q31NR6,H,"K17758,ko:K17759"
SYNPCC7942_RS06525,SYNPCC7942_RS06525,1298630,1299157,-,tetratricopeptide repeat protein,A0A0H3JZR0,S,
SYNPCC7942_RS06530,SYNPCC7942_RS06530,1299187,1300350,-,DUF389 domain-containing protein,Q31NR4,S,
SYNPCC7942_RS06535,SYNPCC7942_RS06535,1300381,1301163,-,transporter substrate-binding domain-containing protein,A0A0H3K091,E,K02030
SYNPCC7942_RS06540,rplT,1301174,1301524,-,50S ribosomal protein L20,Q31NR2,J,K02887
SYNPCC7942_RS06545,rpmI,1301569,1301769,-,50S ribosomal protein L35,Q31NR1,J,K02916
SYNPCC7942_RS06550,SYNPCC7942_RS06550,1301796,1302047,-,hypothetical protein,Q31NR0,X,
SYNPCC7942_RS06555,SYNPCC7942_RS06555,1302044,1303138,-,FUSC family protein,Q31NQ9,X,
SYNPCC7942_RS06560,SYNPCC7942_RS06560,1303144,1303836,-,hypothetical protein,Q31NQ8,S,
SYNPCC7942_RS06565,moaA,1304480,1305463,-,GTP 3'%2C8-cyclase MoaA,Q56211,H,K03639
SYNPCC7942_RS06570,SYNPCC7942_RS06570,1305460,1305957,-,molybdenum cofactor biosynthesis protein MoaE,Q56210,H,K03635
SYNPCC7942_RS06575,moaD,1305960,1306232,-,molybdopterin synthase sulfur carrier subunit MoaD,Q56209,X,
SYNPCC7942_RS06580,SYNPCC7942_RS06580,1306229,1307200,-,bifunctional molybdenum cofactor biosynthesis protein MoaC/MoaB,UPI00003A00F1,H,K03637
SYNPCC7942_RS06585,SYNPCC7942_RS06585,1307304,1308515,+,molybdopterin molybdotransferase MoeA,Q56207,H,K03750
SYNPCC7942_RS06590,SYNPCC7942_RS06590,1309030,1310862,+,S-layer protein,Q31NQ2,Q,
SYNPCC7942_RS06595,SYNPCC7942_RS06595,1311028,1311534,+,DUF4240 domain-containing protein,Q31NQ1,S,
SYNPCC7942_RS06600,SYNPCC7942_RS06600,1311841,1313181,+,TldD/PmbA family protein,Q31NQ0,S,K03592
SYNPCC7942_RS13750,SYNPCC7942_RS13750,1313290,1313460,-,metallothionein,P30331,S,K21904
SYNPCC7942_RS06605,smtB,1313561,1313929,+,Zn(II)-sensing metalloregulatory transcriptional repressor SmtB,A0A0H3K2U0,K,K21903
SYNPCC7942_RS06610,SYNPCC7942_RS06610,1313939,1316023,-,DNA primase,P74893,L,K02316
SYNPCC7942_RS06615,SYNPCC7942_RS06615,1316166,1318598,-,phenylalanine--tRNA ligase subunit beta,P74764,J,K01890
SYNPCC7942_RS06620,SYNPCC7942_RS06620,1318734,1320302,+,protein kinase,Q31NP5,K,K08884
SYNPCC7942_RS06625,SYNPCC7942_RS06625,1320370,1321758,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,Q31NP4,I,
SYNPCC7942_RS06630,SYNPCC7942_RS06630,1321898,1322593,+,hypothetical protein,A0A0H3K076,S,
SYNPCC7942_RS06635,SYNPCC7942_RS06635,1322910,1324319,+,NADP-dependent malic enzyme,A0A0H3K2T5,C,K00027
SYNPCC7942_RS06640,SYNPCC7942_RS06640,1325107,1326837,+,diguanylate cyclase,Q31NP1,T,
SYNPCC7942_RS06645,SYNPCC7942_RS06645,1326892,1327854,-,DUF362 domain-containing protein,A0A0H3JZN2,S,
SYNPCC7942_RS06650,SYNPCC7942_RS06650,1328093,1328662,+,5-formyltetrahydrofolate cyclo-ligase,A0A0H3K5K4,H,K01934
SYNPCC7942_RS06655,SYNPCC7942_RS06655,1328720,1330141,+,ATP-dependent DNA helicase RecQ,A0A0H3K071,L,K03654
SYNPCC7942_RS06660,SYNPCC7942_RS06660,1330250,1330726,+,universal stress protein,Q31NN7,T,
SYNPCC7942_RS06665,SYNPCC7942_RS06665,1330752,1331150,-,hypothetical protein,A0A0H3JZE9,K,
SYNPCC7942_RS06670,SYNPCC7942_RS06670,1331160,1331732,-,hypothetical protein,UPI00005E2873,M,
SYNPCC7942_RS06675,SYNPCC7942_RS06675,1331834,1333444,-,ABC transporter ATP-binding protein,Q31NN4,P,"K02031,ko:K02032"
SYNPCC7942_RS06680,SYNPCC7942_RS06680,1333522,1334082,-,DUF3172 domain-containing protein,A0A0H3K063,S,
SYNPCC7942_RS06685,SYNPCC7942_RS06685,1334181,1334996,+,ABC transporter permease,A0A0H3K2S1,V,
SYNPCC7942_RS06690,trpS,1335063,1336076,+,tryptophan--tRNA ligase,A0A0H3JZE3,J,K01867
SYNPCC7942_RS06695,SYNPCC7942_RS06695,1336073,1337005,+,methylenetetrahydrofolate reductase,UPI00000BC50D,C,K00297
SYNPCC7942_RS06700,SYNPCC7942_RS06700,1337076,1338047,+,LysR family transcriptional regulator,Q5N5I5,K,K21703
SYNPCC7942_RS06705,SYNPCC7942_RS06705,1338222,1338596,-,helix-turn-helix domain-containing protein,UPI000049BB44,L,
SYNPCC7942_RS06710,SYNPCC7942_RS06710,1338656,1340458,-,ABC transporter ATP-binding protein,Q31NM7,P,K06147
SYNPCC7942_RS06715,aspS,1340634,1342433,+,aspartate--tRNA ligase,Q31NM6,J,K01876
SYNPCC7942_RS06720,hflB,1342534,1344405,-,ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein,Q31NM5,O,K03798
SYNPCC7942_RS06725,trmFO,1344583,1345983,-,FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO,Q31NM4,J,K04094
SYNPCC7942_RS06730,SYNPCC7942_RS06730,1346077,1347114,-,zinc ABC transporter solute-binding protein,Q31NM3,P,"K02077,ko:K09818"
SYNPCC7942_RS06735,SYNPCC7942_RS06735,1347173,1347910,+,metal ABC transporter ATP-binding protein,Q31NM2,P,K09820
SYNPCC7942_RS06740,SYNPCC7942_RS06740,1347917,1348768,+,metal ABC transporter permease,A0A0H3K5I5,P,K09819
SYNPCC7942_RS06745,pyrR,1348834,1349373,+,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,A0A0H3K051,F,K02825
SYNPCC7942_RS06750,SYNPCC7942_RS06750,1349340,1350296,-,CHAD domain-containing protein,A0A0H3K2Q8,S,
SYNPCC7942_RS06755,SYNPCC7942_RS06755,1350414,1351433,-,hypothetical protein,Q31NL8,X,
SYNPCC7942_RS06760,SYNPCC7942_RS06760,1351613,1351840,+,photosystem I reaction center subunit IV,P23077,S,K02693
SYNPCC7942_RS06765,SYNPCC7942_RS06765,1351949,1352797,+,DNA-formamidopyrimidine glycosylase,Q08079,L,K10563
SYNPCC7942_RS06770,SYNPCC7942_RS06770,1352829,1355588,-,DEAD/DEAH box helicase,Q31NL5,L,
SYNPCC7942_RS06775,dnaB,1355787,1357151,+,replicative DNA helicase,UPI00003A0114,L,K02314
SYNPCC7942_RS06780,mfd,1357232,1360693,+,transcription-repair coupling factor,Q31NL3,L,K03723
SYNPCC7942_RS06785,SYNPCC7942_RS06785,1360808,1361101,+,hypothetical protein,Q31NL2,X,
SYNPCC7942_RS06790,SYNPCC7942_RS06790,1361167,1361559,+,DUF1622 domain-containing protein,A0A0H3K2Q0,S,
SYNPCC7942_RS06795,SYNPCC7942_RS06795,1361879,1362505,+,hypothetical protein,Q31NL0,S,K06872
SYNPCC7942_RS06800,SYNPCC7942_RS06800,1362508,1363164,+,methyltransferase domain-containing protein,Q31NK9,Q,
SYNPCC7942_RS06805,SYNPCC7942_RS06805,1363290,1363466,+,hypothetical protein,A0A0H3K5H6,S,
SYNPCC7942_RS06810,SYNPCC7942_RS06810,1363471,1364091,+,7-carboxy-7-deazaguanine synthase QueE,A0A0H3K039,H,K10026
SYNPCC7942_RS06815,queC,1364091,1364786,+,7-cyano-7-deazaguanine synthase QueC,Q31NK6,F,K06920
SYNPCC7942_RS06820,pabB,1364783,1366180,+,aminodeoxychorismate synthase component I,Q31NK5,E,K01665
SYNPCC7942_RS06825,SYNPCC7942_RS06825,1366177,1366971,+,branched chain amino acid aminotransferase,A0A0H3JZB6,E,"K00826,ko:K02619"
SYNPCC7942_RS06830,SYNPCC7942_RS06830,1367261,1368343,+,TIGR03032 family protein,Q31NK3,S,
SYNPCC7942_RS06835,SYNPCC7942_RS06835,1368405,1372715,+,type I secretion C-terminal target domain-containing protein,UPI0012DCEF72,Q,
SYNPCC7942_RS06840,SYNPCC7942_RS06840,1372863,1373645,-,DUF3747 domain-containing protein,UPI00005E2876,C,
SYNPCC7942_RS06845,SYNPCC7942_RS06845,1373779,1373973,-,hypothetical protein,A0A0H3JZB1,X,
SYNPCC7942_RS06850,def,1374061,1374639,-,peptide deformylase,A0A0H3JZJ4,J,K01462
SYNPCC7942_RS06855,SYNPCC7942_RS06855,1374756,1375841,+,AI-2E family transporter,Q31NJ8,S,
SYNPCC7942_RS06860,gmd,1375911,1377002,+,GDP-mannose 4%2C6-dehydratase,Q31NJ7,M,K01711
SYNPCC7942_RS06865,nuoH,1377217,1378335,+,NADH-quinone oxidoreductase subunit NuoH,Q31NJ6,C,K05572
SYNPCC7942_RS06870,ndhI,1378378,1378986,+,NAD(P)H-quinone oxidoreductase subunit I,Q31NJ5,C,K05580
SYNPCC7942_RS06875,SYNPCC7942_RS06875,1378990,1379595,+,NADH-quinone oxidoreductase subunit J,Q31NJ4,C,K05578
SYNPCC7942_RS06880,nuoK,1379614,1379925,+,NADH-quinone oxidoreductase subunit NuoK,A0A0H3JZA5,C,K05576
SYNPCC7942_RS06885,SYNPCC7942_RS06885,1380019,1381014,-,2-hydroxyacid dehydrogenase,A0A0H3JZI9,C,K03778
SYNPCC7942_RS06890,SYNPCC7942_RS06890,1381032,1381331,-,hypothetical protein,Q31NJ1,X,
SYNPCC7942_RS06895,SYNPCC7942_RS06895,1381367,1382053,-,alpha/beta fold hydrolase,A0A0H3K5G2,S,K07000
SYNPCC7942_RS06900,patD,1382050,1382382,-,heterocyst frequency control protein PatD,UPI0012DBF04D,X,
SYNPCC7942_RS06905,SYNPCC7942_RS06905,1382386,1383078,-,HAD-IA family hydrolase,UPI00003A012E,S,
SYNPCC7942_RS06910,acs,1383192,1385162,+,acetate--CoA ligase,A0A0H3K2M6,H,K01895
SYNPCC7942_RS06915,SYNPCC7942_RS06915,1385412,1386080,+,DUF3120 domain-containing protein,A0A0H3JZ97,S,
SYNPCC7942_RS06920,SYNPCC7942_RS06920,1386587,1388083,+,MFS transporter,A0A0H3JZI3,E,
SYNPCC7942_RS06925,SYNPCC7942_RS06925,1388109,1390898,-,EAL domain-containing protein,A0A0H3K5F9,T,
SYNPCC7942_RS06930,SYNPCC7942_RS06930,1390895,1391350,-,response regulator,A0A0H3K018,T,
SYNPCC7942_RS06935,SYNPCC7942_RS06935,1391347,1395309,-,PAS domain S-box protein,UPI00003A0134,T,
SYNPCC7942_RS06940,SYNPCC7942_RS06940,1397087,1397878,-,hypothetical protein,Q31NI1,S,
SYNPCC7942_RS06950,SYNPCC7942_RS06950,1398294,1399499,-,hypothetical protein,A0A0H3K5F3,C,K21231
SYNPCC7942_RS06955,SYNPCC7942_RS06955,1399742,1401052,+,LCP family protein,A0A0H3K014,K,
SYNPCC7942_RS06960,SYNPCC7942_RS06960,1401085,1401588,+,pentapeptide repeat-containing protein,A0A0H3K2L4,S,
SYNPCC7942_RS06965,SYNPCC7942_RS06965,1401672,1402157,+,hypothetical protein,A0A0H3JZ83,X,
SYNPCC7942_RS06970,SYNPCC7942_RS06970,1402440,1402640,+,hypothetical protein,UPI00003A013A,X,
SYNPCC7942_RS06975,SYNPCC7942_RS06975,1402687,1403103,+,hypothetical protein,A0A0H3JZH3,X,
SYNPCC7942_RS06985,SYNPCC7942_RS06985,1403362,1404060,-,NAAT family transporter,Q31NH4,U,K05595
SYNPCC7942_RS06990,SYNPCC7942_RS06990,1404292,1405203,-,2-carboxy-1%2C4-naphthoquinone phytyltransferase,A0A0H3K009,M,K02548
SYNPCC7942_RS06995,SYNPCC7942_RS06995,1405262,1406629,+,cytochrome P450,A0A0H3K2K9,C,
SYNPCC7942_RS07000,SYNPCC7942_RS07000,1406657,1406992,+,SH3 domain-containing protein,A0A0H3JZ76,X,
SYNPCC7942_RS07005,recR,1407235,1407837,+,recombination protein RecR,UPI00058431C6,L,K06187
SYNPCC7942_RS07010,SYNPCC7942_RS07010,1407963,1408202,+,hypothetical protein,UPI00003A0141,X,
SYNPCC7942_RS07015,corA,1408205,1409368,-,magnesium/cobalt transporter CorA,Q31NG8,P,K03284
SYNPCC7942_RS14010,SYNPCC7942_RS14010,1409391,1409561,-,hypothetical protein,UPI000A68A942,X,
SYNPCC7942_RS07020,metH,1409560,1413132,+,methionine synthase,Q31NG7,H,K00548
SYNPCC7942_RS07025,SYNPCC7942_RS07025,1413287,1413982,-,HupE/UreJ family protein,A0A0H3K004,O,K03192
SYNPCC7942_RS07030,SYNPCC7942_RS07030,1414283,1415914,-,RluA family pseudouridine synthase,A0A0H3K2K4,J,K06177
SYNPCC7942_RS07035,SYNPCC7942_RS07035,1415985,1416506,-,NAD(P)H-dependent oxidoreductase,A0A0H3JZ72,S,
SYNPCC7942_RS07040,SYNPCC7942_RS07040,1416706,1417296,-,hypothetical protein,UPI0012601AF4,X,
SYNPCC7942_RS07045,SYNPCC7942_RS07045,1417585,1419879,+,bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase,A0A0H3K5D6,K,"K00951,ko:K01139"
SYNPCC7942_RS07050,SYNPCC7942_RS07050,1419926,1421167,-,hypothetical protein,A0A0H3JZZ6,M,K00748
SYNPCC7942_RS07060,accC,1421475,1422836,+,acetyl-CoA carboxylase biotin carboxylase subunit,A0A0H3K2J9,I,K01961
SYNPCC7942_RS07065,sulP,1422879,1424603,+,solute carrier 26 family protein,A0A0H3JZ67,P,K03321
SYNPCC7942_RS07070,SYNPCC7942_RS07070,1424685,1426610,+,ABC-F family ATP-binding cassette domain-containing protein,Q31NF8,S,K15738
SYNPCC7942_RS07075,SYNPCC7942_RS07075,1427573,1429711,+,EAL domain-containing protein,UPI000585AC30,T,
SYNPCC7942_RS07080,SYNPCC7942_RS07080,1429798,1430310,-,inorganic diphosphatase,A0A0H3K2I9,C,K01507
SYNPCC7942_RS07085,SYNPCC7942_RS07085,1430567,1431283,+,META domain-containing protein,UPI000F7E932B,O,
SYNPCC7942_RS07090,SYNPCC7942_RS07090,1431285,1431539,-,hypothetical protein,UPI0012DC75B0,S,
SYNPCC7942_RS07095,SYNPCC7942_RS07095,1431627,1432760,-,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,Q31NF3,H,K19221
SYNPCC7942_RS07100,larE,1432853,1433680,+,ATP-dependent sacrificial sulfur transferase LarE,A0A0H3JZY5,S,K06864
SYNPCC7942_RS07105,SYNPCC7942_RS07105,1433659,1434372,+,carbonic anhydrase,A0A0H3K2I0,P,K01674
SYNPCC7942_RS07110,psbA,1434538,1435620,-,photosystem II q(b) protein,P04997,C,K02703
SYNPCC7942_RS07115,SYNPCC7942_RS07115,1435722,1436066,-,histidine triad nucleotide-binding protein,P32084,F,K02503
SYNPCC7942_RS07120,SYNPCC7942_RS07120,1436154,1437692,+,YifB family Mg chelatase-like AAA ATPase,A0A0H3JZE4,O,K07391
SYNPCC7942_RS07125,SYNPCC7942_RS07125,1437916,1441983,-,DUF4214 domain-containing protein,A0A0H3K5C2,F,
SYNPCC7942_RS07130,SYNPCC7942_RS07130,1442504,1443418,+,histone deacetylase,Q31NE6,B,
SYNPCC7942_RS07135,SYNPCC7942_RS07135,1443546,1445309,+,M61 family metallopeptidase,A0A0H3K2H4,S,
SYNPCC7942_RS07140,SYNPCC7942_RS07140,1445306,1445725,+,hypothetical protein,A0A0H3JZ53,X,
SYNPCC7942_RS07145,SYNPCC7942_RS07145,1445743,1446000,-,hypothetical protein,A0A0H3JZD7,X,
SYNPCC7942_RS07150,SYNPCC7942_RS07150,1446191,1447519,+,hypothetical protein,UPI00003A0158,X,
SYNPCC7942_RS07155,SYNPCC7942_RS07155,1447847,1450069,-,glycosyltransferase,A0A0H3JZX3,M,K00694
SYNPCC7942_RS07160,SYNPCC7942_RS07160,1450087,1451322,-,HlyD family efflux transporter periplasmic adaptor subunit,UPI0005853D68,V,
SYNPCC7942_RS07165,SYNPCC7942_RS07165,1451255,1452376,-,endo-1%2C4-beta-xylanase,Q31ND9,G,K01181
SYNPCC7942_RS07170,SYNPCC7942_RS07170,1452727,1453104,-,VOC family protein,A0A0H3JZD1,E,
SYNPCC7942_RS07175,SYNPCC7942_RS07175,1453317,1454576,+,zinc ribbon domain-containing protein,A0A0H3K5B2,J,
SYNPCC7942_RS07180,gloB,1454593,1455369,-,hydroxyacylglutathione hydrolase,Q31ND6,S,K01069
SYNPCC7942_RS07185,SYNPCC7942_RS07185,1455395,1456084,-,response regulator transcription factor,Q31ND5,K,K11521
SYNPCC7942_RS07190,SYNPCC7942_RS07190,1456260,1456787,+,DUF192 domain-containing protein,Q31ND4,S,K09005
SYNPCC7942_RS07195,SYNPCC7942_RS07195,1456803,1457909,-,ABC transporter ATP-binding protein,Q31ND3,P,K02010
SYNPCC7942_RS07200,SYNPCC7942_RS07200,1458057,1459688,+,iron ABC transporter permease,A0A0H3JZC5,P,K02011
SYNPCC7942_RS07205,SYNPCC7942_RS07205,1459920,1460555,+,class I SAM-dependent methyltransferase,A0A0H3K5A6,Q,
SYNPCC7942_RS07210,SYNPCC7942_RS07210,1460847,1461869,+,Fe(3+) ABC transporter substrate-binding protein,A0A0H3JZW0,P,K02012
SYNPCC7942_RS07215,SYNPCC7942_RS07215,1461949,1463571,-,2-isopropylmalate synthase,Q31NC9,E,K01649
SYNPCC7942_RS07220,SYNPCC7942_RS07220,1463651,1464358,-,lipoate--protein ligase family protein,A0A0H3JZ36,H,K03800
SYNPCC7942_RS07225,SYNPCC7942_RS07225,1464368,1464817,-,YbjN domain-containing protein,A0A0H3JZB9,S,
SYNPCC7942_RS07230,SYNPCC7942_RS07230,1464941,1465696,+,sulfite exporter TauE/SafE family protein,Q31NC6,S,K07090
SYNPCC7942_RS07235,SYNPCC7942_RS07235,1465709,1466434,-,ABC transporter ATP-binding protein,A0A0H3JZV2,P,K02003
SYNPCC7942_RS07240,SYNPCC7942_RS07240,1466530,1468095,-,NAD(P)H-quinone oxidoreductase subunit N,P29801,C,K05573
SYNPCC7942_RS07245,topA,1468344,1470995,+,type I DNA topoisomerase,A0A0H3K2F5,L,K03168
SYNPCC7942_RS07250,SYNPCC7942_RS07250,1471000,1471983,+,S-layer homology domain-containing protein,A0A0H3JZ30,S,
SYNPCC7942_RS07255,SYNPCC7942_RS07255,1471980,1472186,-,hypothetical protein,Q31NC1,X,
SYNPCC7942_RS07260,bchL,1472585,1473445,+,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein,P54207,F,K04037
SYNPCC7942_RS07265,SYNPCC7942_RS07265,1473509,1474909,+,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,P54208,F,K04038
SYNPCC7942_RS07270,SYNPCC7942_RS07270,1475239,1475547,+,carbon dioxide-concentrating mechanism protein CcmK,A0A0H3JZB4,C,K08696
SYNPCC7942_RS07275,SYNPCC7942_RS07275,1475694,1475993,+,EutN/CcmL family microcompartment protein,A0A0H3K596,C,K08697
SYNPCC7942_RS07280,SYNPCC7942_RS07280,1476059,1477678,+,carbon dioxide concentrating mechanism protein CcmM,Q03513,C,K08698
SYNPCC7942_RS07285,SYNPCC7942_RS07285,1477713,1478198,+,hypothetical protein,A0A0H3K2F0,S,K08699
SYNPCC7942_RS07290,SYNPCC7942_RS07290,1478240,1479070,+,carbon dioxide-concentrating mechanism protein CcmK,P23656,C,K08700
SYNPCC7942_RS07295,SYNPCC7942_RS07295,1479461,1480879,+,form I ribulose bisphosphate carboxylase large subunit,P00880,H,K01601
SYNPCC7942_RS07300,SYNPCC7942_RS07300,1480976,1481305,+,ribulose bisphosphate carboxylase small subunit,UPI00003A016E,C,K01602
SYNPCC7942_RS07305,purK,1481407,1482594,+,5-(carboxyamino)imidazole ribonucleotide synthase,A0A0H3JZ24,F,K01589
SYNPCC7942_RS07310,SYNPCC7942_RS07310,1482857,1483267,-,hypothetical protein,A0A0H3JZA8,X,
SYNPCC7942_RS07315,SYNPCC7942_RS07315,1483316,1484173,-,hypothetical protein,A0A0H3K591,X,
SYNPCC7942_RS07320,SYNPCC7942_RS07320,1484549,1484986,+,peptidylprolyl isomerase,A0A0H3JZT8,O,"K01802,ko:K03768"
SYNPCC7942_RS07325,ribA,1485025,1486710,-,bifunctional 3%2C4-dihydroxy-2-butanone-4-phosphate synthase RibB/GTP cyclohydrolase II RibA,Q31NA7,H,K14652
SYNPCC7942_RS07330,SYNPCC7942_RS07330,1486983,1488041,+,N-acetyl-gamma-glutamyl-phosphate reductase,Q31NA6,E,K00145
SYNPCC7942_RS07335,SYNPCC7942_RS07335,1488255,1488854,-,hypothetical protein,A0A0H3JZ18,X,
SYNPCC7942_RS07340,menD,1488975,1490723,-,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase,Q31NA4,H,K02551
SYNPCC7942_RS07345,SYNPCC7942_RS07345,1490759,1491205,-,hypothetical protein,Q31NA3,X,
SYNPCC7942_RS07350,SYNPCC7942_RS07350,1491286,1491564,+,hypothetical protein,Q31NA2,X,
SYNPCC7942_RS07355,SYNPCC7942_RS07355,1491796,1492290,-,ATP-binding protein,A0A0H3JZT2,T,"K04757,ko:K08282"
SYNPCC7942_RS07360,SYNPCC7942_RS07360,1492429,1494030,-,NADH-quinone oxidoreductase subunit M,Q31NA0,C,K05575
SYNPCC7942_RS07365,SYNPCC7942_RS07365,1494173,1495093,-,homoserine kinase,Q31N99,F,K00872
SYNPCC7942_RS07370,SYNPCC7942_RS07370,1495174,1496151,-,cobalamin biosynthesis protein,A0A0H3K2E0,H,K02227
SYNPCC7942_RS07375,SYNPCC7942_RS07375,1496399,1496833,+,VOC family protein,A0A0H3JZ15,E,
SYNPCC7942_RS07385,fba,1497217,1498290,+,fructose-bisphosphate aldolase class II,A0A0H3JZ96,G,K01624
SYNPCC7942_RS07395,SYNPCC7942_RS07395,1498702,1499817,-,hypothetical protein,Q31N94,S,
SYNPCC7942_RS07400,SYNPCC7942_RS07400,1499923,1500342,-,hypothetical protein,Q31N93,X,
SYNPCC7942_RS07405,SYNPCC7942_RS07405,1500489,1501307,+,carbonic anhydrase,P27134,P,K01673
SYNPCC7942_RS07410,nadA,1501343,1502305,+,quinolinate synthase NadA,Q5N5W8,H,K03517
SYNPCC7942_RS07415,lpxD,1502325,1503392,-,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,Q31N90,M,K02536
SYNPCC7942_RS07420,SYNPCC7942_RS07420,1503457,1504257,+,phosphate ABC transporter ATP-binding protein,Q31N89,P,K02036
SYNPCC7942_RS07425,SYNPCC7942_RS07425,1504300,1504761,+,hypothetical protein,A0A0H3JZ89,X,
SYNPCC7942_RS07430,radA,1504758,1506194,-,DNA repair protein RadA,Q31N87,L,K04485
SYNPCC7942_RS07435,SYNPCC7942_RS07435,1506399,1507133,+,response regulator transcription factor,Q31N86,K,K11329
SYNPCC7942_RS07440,plsX,1507284,1508324,+,phosphate acyltransferase PlsX,Q31N85,I,K03621
SYNPCC7942_RS07445,fabH,1508394,1509401,+,ketoacyl-ACP synthase III,Q31N84,I,K00648
SYNPCC7942_RS07450,fabD,1509455,1510336,+,ACP S-malonyltransferase,A0A0H3K2C6,I,K00645
SYNPCC7942_RS07455,SYNPCC7942_RS07455,1510305,1510982,+,1-acyl-sn-glycerol-3-phosphate acyltransferase,A0A0H3JZ06,I,K00655
SYNPCC7942_RS07460,SYNPCC7942_RS07460,1510962,1511528,-,YdcF family protein,Q31N81,S,
SYNPCC7942_RS07465,tsaB,1511592,1512212,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,A0A0H3K575,O,
SYNPCC7942_RS07470,SYNPCC7942_RS07470,1512321,1512578,-,Ycf34 family protein,A0A0H3JZR5,S,
SYNPCC7942_RS07475,SYNPCC7942_RS07475,1512709,1513965,-,thiol oxidoreductase,UPI00005E2885,C,
SYNPCC7942_RS07480,SYNPCC7942_RS07480,1514071,1515141,-,iron-regulated protein A,A0A0H3JZ01,P,
SYNPCC7942_RS07485,SYNPCC7942_RS07485,1515363,1517000,+,iron uptake porin,UPI0012DE1741,M,
SYNPCC7942_RS07490,SYNPCC7942_RS07490,1517225,1518832,+,iron uptake porin,UPI000F7F7F9C,M,
SYNPCC7942_RS07495,SYNPCC7942_RS07495,1518994,1519449,+,Rrf2 family transcriptional regulator,UPI00003A018E,K,
SYNPCC7942_RS07500,cysK,1519664,1520668,+,cysteine synthase A,A0A0H3K9J3,E,K01738
